price_id,date,material_code,material_category,sub_category,city,unit,buying_price_informal,quoted_price_formal,spread_pct,market_range_low,market_range_high,benchmark_recycler_id,source
PRC0064144,2026-03-01,CBL-AL,Cable,Aluminium cable,Nashik,kg,102.45,109.06,6.45,92.2,117.78,REC1042,synthetic_calibrated
PRC0062682,2026-03-01,CBL-AL,Cable,Aluminium cable,Pimpri-Chinchwad,kg,107.18,114.1,6.46,96.46,123.23,REC1009,synthetic_calibrated
PRC0061951,2026-03-01,CBL-AL,Cable,Aluminium cable,Pune,kg,104.99,111.77,6.46,94.49,120.71,REC1000,synthetic_calibrated
PRC0061220,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Aurangabad,kg,123.42,132.71,7.53,111.08,143.33,REC1038,synthetic_calibrated
PRC0059027,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Mumbai,kg,137.02,147.34,7.53,123.32,159.13,REC1003,synthetic_calibrated
PRC0060489,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Nagpur,kg,123.98,133.32,7.53,111.58,143.99,REC1001,synthetic_calibrated
PRC0059758,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Nashik,kg,129.41,139.15,7.53,116.47,150.28,REC1042,synthetic_calibrated
PRC0058296,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Pimpri-Chinchwad,kg,132.91,142.92,7.53,119.62,154.35,REC1009,synthetic_calibrated
PRC0057565,2026-03-01,CBL-ARM,Cable,Armoured / data cable,Pune,kg,128.7,138.39,7.53,115.83,149.46,REC1000,synthetic_calibrated
PRC0056834,2026-03-01,CBL-CU,Cable,Copper household wire,Aurangabad,kg,267.67,282.07,5.38,240.9,304.64,REC1038,synthetic_calibrated
PRC0054641,2026-03-01,CBL-CU,Cable,Copper household wire,Mumbai,kg,274.01,288.75,5.38,246.61,311.85,REC1003,synthetic_calibrated
PRC0056103,2026-03-01,CBL-CU,Cable,Copper household wire,Nagpur,kg,256.49,270.29,5.38,230.84,291.91,REC1001,synthetic_calibrated
PRC0055372,2026-03-01,CBL-CU,Cable,Copper household wire,Nashik,kg,269.82,284.33,5.38,242.84,307.08,REC1042,synthetic_calibrated
PRC0053910,2026-03-01,CBL-CU,Cable,Copper household wire,Pimpri-Chinchwad,kg,259.79,273.76,5.38,233.81,295.66,REC1009,synthetic_calibrated
PRC0053179,2026-03-01,CBL-CU,Cable,Copper household wire,Pune,kg,259.37,273.32,5.38,233.43,295.19,REC1000,synthetic_calibrated
PRC0069992,2026-03-01,CBL-MIX,Cable,Mixed insulated,Aurangabad,kg,73.41,80.52,9.69,66.07,86.96,REC1038,synthetic_calibrated
PRC0067799,2026-03-01,CBL-MIX,Cable,Mixed insulated,Mumbai,kg,79.68,87.39,9.68,71.71,94.38,REC1003,synthetic_calibrated
PRC0069261,2026-03-01,CBL-MIX,Cable,Mixed insulated,Nagpur,kg,73.94,81.1,9.68,66.55,87.59,REC1001,synthetic_calibrated
PRC0068530,2026-03-01,CBL-MIX,Cable,Mixed insulated,Nashik,kg,73.18,80.27,9.69,65.86,86.69,REC1042,synthetic_calibrated
PRC0067068,2026-03-01,CBL-MIX,Cable,Mixed insulated,Pimpri-Chinchwad,kg,78.65,86.26,9.68,70.79,93.16,REC1009,synthetic_calibrated
PRC0066337,2026-03-01,CBL-MIX,Cable,Mixed insulated,Pune,kg,73.28,80.37,9.68,65.95,86.8,REC1000,synthetic_calibrated
PRC0004202,2026-03-01,CRT-CTV,CRT,Colour TV tube,Aurangabad,kg,12.8,17.05,33.2,11.52,18.41,REC1038,synthetic_calibrated
PRC0002009,2026-03-01,CRT-CTV,CRT,Colour TV tube,Mumbai,kg,14.24,18.97,33.22,12.82,20.49,REC1003,synthetic_calibrated
PRC0003471,2026-03-01,CRT-CTV,CRT,Colour TV tube,Nagpur,kg,13.15,17.52,33.23,11.84,18.92,REC1001,synthetic_calibrated
PRC0002740,2026-03-01,CRT-CTV,CRT,Colour TV tube,Nashik,kg,13.23,17.62,33.18,11.91,19.03,REC1042,synthetic_calibrated
PRC0001278,2026-03-01,CRT-CTV,CRT,Colour TV tube,Pimpri-Chinchwad,kg,13.35,17.78,33.18,12.02,19.2,REC1009,synthetic_calibrated
PRC0000547,2026-03-01,CRT-CTV,CRT,Colour TV tube,Pune,kg,13.67,18.21,33.21,12.3,19.67,REC1000,synthetic_calibrated
PRC0008588,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Aurangabad,kg,8.89,11.65,31.05,8.0,12.58,REC1038,synthetic_calibrated
PRC0006395,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Mumbai,kg,10.15,13.3,31.03,9.14,14.36,REC1003,synthetic_calibrated
PRC0007857,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Nagpur,kg,9.3,12.19,31.08,8.37,13.17,REC1001,synthetic_calibrated
PRC0007126,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Nashik,kg,9.56,12.53,31.07,8.6,13.53,REC1042,synthetic_calibrated
PRC0005664,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Pimpri-Chinchwad,kg,9.55,12.52,31.1,8.6,13.52,REC1009,synthetic_calibrated
PRC0004933,2026-03-01,CRT-MON,CRT,Monochrome monitor tube,Pune,kg,9.65,12.65,31.09,8.68,13.66,REC1000,synthetic_calibrated
PRC0012974,2026-03-01,CRT-YOK,CRT,Deflection yoke,Aurangabad,kg,41.81,48.08,15.0,37.63,51.93,REC1038,synthetic_calibrated
PRC0010781,2026-03-01,CRT-YOK,CRT,Deflection yoke,Mumbai,kg,47.26,54.35,15.0,42.53,58.7,REC1003,synthetic_calibrated
PRC0012243,2026-03-01,CRT-YOK,CRT,Deflection yoke,Nagpur,kg,41.54,47.77,15.0,37.39,51.59,REC1001,synthetic_calibrated
PRC0011512,2026-03-01,CRT-YOK,CRT,Deflection yoke,Nashik,kg,44.19,50.82,15.0,39.77,54.89,REC1042,synthetic_calibrated
PRC0010050,2026-03-01,CRT-YOK,CRT,Deflection yoke,Pimpri-Chinchwad,kg,44.85,51.58,15.01,40.36,55.71,REC1009,synthetic_calibrated
PRC0009319,2026-03-01,CRT-YOK,CRT,Deflection yoke,Pune,kg,46.1,53.02,15.01,41.49,57.26,REC1000,synthetic_calibrated
PRC0030518,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Aurangabad,kg,40.84,48.3,18.27,36.76,52.16,REC1038,synthetic_calibrated
PRC0028325,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Mumbai,kg,45.44,53.74,18.27,40.9,58.04,REC1003,synthetic_calibrated
PRC0029787,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Nagpur,kg,41.92,49.58,18.27,37.73,53.55,REC1001,synthetic_calibrated
PRC0029056,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Nashik,kg,41.76,49.39,18.27,37.58,53.34,REC1042,synthetic_calibrated
PRC0027594,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Pimpri-Chinchwad,kg,44.4,52.51,18.27,39.96,56.71,REC1009,synthetic_calibrated
PRC0026863,2026-03-01,LCD-BLA,LCD/LED panel,Backlight assembly,Pune,kg,43.04,50.9,18.26,38.74,54.97,REC1000,synthetic_calibrated
PRC0017360,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Aurangabad,kg,37.23,45.63,22.56,33.51,49.28,REC1038,synthetic_calibrated
PRC0015167,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Mumbai,kg,38.37,47.03,22.57,34.53,50.79,REC1003,synthetic_calibrated
PRC0016629,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Nagpur,kg,36.34,44.54,22.56,32.71,48.1,REC1001,synthetic_calibrated
PRC0015898,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Nashik,kg,34.96,42.85,22.57,31.46,46.28,REC1042,synthetic_calibrated
PRC0014436,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Pimpri-Chinchwad,kg,36.71,45.0,22.58,33.04,48.6,REC1009,synthetic_calibrated
PRC0013705,2026-03-01,LCD-LAP,LCD/LED panel,Laptop panel,Pune,kg,37.68,46.19,22.58,33.91,49.89,REC1000,synthetic_calibrated
PRC0021746,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Aurangabad,kg,28.62,34.77,21.49,25.76,37.55,REC1038,synthetic_calibrated
PRC0019553,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Mumbai,kg,33.61,40.84,21.51,30.25,44.11,REC1003,synthetic_calibrated
PRC0021015,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Nagpur,kg,28.43,34.54,21.49,25.59,37.3,REC1001,synthetic_calibrated
PRC0020284,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Nashik,kg,29.76,36.16,21.51,26.78,39.05,REC1042,synthetic_calibrated
PRC0018822,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Pimpri-Chinchwad,kg,30.64,37.23,21.51,27.58,40.21,REC1009,synthetic_calibrated
PRC0018091,2026-03-01,LCD-MON,LCD/LED panel,Monitor panel,Pune,kg,31.42,38.17,21.48,28.28,41.22,REC1000,synthetic_calibrated
PRC0026132,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Aurangabad,kg,24.55,29.56,20.41,22.1,31.92,REC1038,synthetic_calibrated
PRC0023939,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Mumbai,kg,27.59,33.22,20.41,24.83,35.88,REC1003,synthetic_calibrated
PRC0025401,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Nagpur,kg,24.26,29.21,20.4,21.83,31.55,REC1001,synthetic_calibrated
PRC0024670,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Nashik,kg,25.12,30.25,20.42,22.61,32.67,REC1042,synthetic_calibrated
PRC0023208,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Pimpri-Chinchwad,kg,26.24,31.6,20.43,23.62,34.13,REC1009,synthetic_calibrated
PRC0022477,2026-03-01,LCD-TV,LCD/LED panel,TV panel,Pune,kg,25.67,30.91,20.41,23.1,33.38,REC1000,synthetic_calibrated
PRC0105080,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Aurangabad,kg,53.86,63.71,18.29,48.47,68.81,REC1038,synthetic_calibrated
PRC0102887,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Mumbai,kg,60.01,70.98,18.28,54.01,76.66,REC1003,synthetic_calibrated
PRC0104349,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Nagpur,kg,54.5,64.47,18.29,49.05,69.63,REC1001,synthetic_calibrated
PRC0103618,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Nashik,kg,56.68,67.05,18.3,51.01,72.41,REC1042,synthetic_calibrated
PRC0102156,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Pimpri-Chinchwad,kg,59.46,70.33,18.28,53.51,75.96,REC1009,synthetic_calibrated
PRC0101425,2026-03-01,MTR-CMP,Motor & magnet-bearing,Compressor motor,Pune,kg,59.69,70.61,18.29,53.72,76.26,REC1000,synthetic_calibrated
PRC0091922,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Aurangabad,kg,135.05,169.92,25.82,121.55,183.51,REC1038,synthetic_calibrated
PRC0089729,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Mumbai,kg,147.0,184.95,25.82,132.3,199.75,REC1003,synthetic_calibrated
PRC0091191,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Nagpur,kg,138.25,173.94,25.82,124.42,187.86,REC1001,synthetic_calibrated
PRC0090460,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Nashik,kg,142.19,178.9,25.82,127.97,193.21,REC1042,synthetic_calibrated
PRC0088998,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Pimpri-Chinchwad,kg,145.84,183.49,25.82,131.26,198.17,REC1009,synthetic_calibrated
PRC0088267,2026-03-01,MTR-HDD,Motor & magnet-bearing,HDD assembly,Pune,kg,140.64,176.95,25.82,126.58,191.11,REC1000,synthetic_calibrated
PRC0100694,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Aurangabad,kg,67.97,81.86,20.44,61.17,88.41,REC1038,synthetic_calibrated
PRC0098501,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Mumbai,kg,75.56,91.0,20.43,68.0,98.28,REC1003,synthetic_calibrated
PRC0099963,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Nagpur,kg,66.26,79.8,20.43,59.63,86.18,REC1001,synthetic_calibrated
PRC0099232,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Nashik,kg,69.53,83.74,20.44,62.58,90.44,REC1042,synthetic_calibrated
PRC0097770,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Pimpri-Chinchwad,kg,69.78,84.04,20.44,62.8,90.76,REC1009,synthetic_calibrated
PRC0097039,2026-03-01,MTR-SML,Motor & magnet-bearing,Small AC/DC motor,Pune,kg,70.31,84.68,20.44,63.28,91.45,REC1000,synthetic_calibrated
PRC0096308,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Aurangabad,kg,93.29,116.37,24.74,83.96,125.68,REC1038,synthetic_calibrated
PRC0094115,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Mumbai,kg,99.37,123.96,24.75,89.43,133.88,REC1003,synthetic_calibrated
PRC0095577,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Nagpur,kg,89.63,111.81,24.75,80.67,120.75,REC1001,synthetic_calibrated
PRC0094846,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Nashik,kg,93.42,116.53,24.74,84.08,125.85,REC1042,synthetic_calibrated
PRC0093384,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Pimpri-Chinchwad,kg,97.7,121.87,24.74,87.93,131.62,REC1009,synthetic_calibrated
PRC0092653,2026-03-01,MTR-SPK,Motor & magnet-bearing,Speaker magnet,Pune,kg,100.62,125.52,24.75,90.56,135.56,REC1000,synthetic_calibrated
PRC0043676,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Aurangabad,kg,768.51,976.23,27.03,691.66,1054.33,REC1038,synthetic_calibrated
PRC0041483,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Mumbai,kg,892.31,1133.5,27.03,803.08,1224.18,REC1003,synthetic_calibrated
PRC0042945,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Nagpur,kg,752.24,955.57,27.03,677.02,1032.02,REC1001,synthetic_calibrated
PRC0042214,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Nashik,kg,771.76,980.36,27.03,694.58,1058.79,REC1042,synthetic_calibrated
PRC0040752,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Pimpri-Chinchwad,kg,838.12,1064.66,27.03,754.31,1149.83,REC1009,synthetic_calibrated
PRC0040021,2026-03-01,PCB-GPU,PCB,GPU / add-on card,Pune,kg,756.01,960.35,27.03,680.41,1037.18,REC1000,synthetic_calibrated
PRC0048062,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Aurangabad,kg,115.77,150.82,30.28,104.19,162.89,REC1038,synthetic_calibrated
PRC0045869,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Mumbai,kg,142.72,185.93,30.28,128.45,200.8,REC1003,synthetic_calibrated
PRC0047331,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Nagpur,kg,126.99,165.43,30.27,114.29,178.66,REC1001,synthetic_calibrated
PRC0046600,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Nashik,kg,137.18,178.71,30.27,123.46,193.01,REC1042,synthetic_calibrated
PRC0045138,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Pimpri-Chinchwad,kg,136.56,177.9,30.27,122.9,192.13,REC1009,synthetic_calibrated
PRC0044407,2026-03-01,PCB-LOW,PCB,TV / appliance board (low grade),Pune,kg,138.51,180.44,30.27,124.66,194.88,REC1000,synthetic_calibrated
PRC0034904,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Aurangabad,kg,605.7,775.97,28.11,545.13,838.05,REC1038,synthetic_calibrated
PRC0032711,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Mumbai,kg,661.59,847.57,28.11,595.43,915.38,REC1003,synthetic_calibrated
PRC0034173,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Nagpur,kg,606.3,776.73,28.11,545.67,838.87,REC1001,synthetic_calibrated
PRC0033442,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Nashik,kg,641.15,821.38,28.11,577.04,887.09,REC1042,synthetic_calibrated
PRC0031980,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Pimpri-Chinchwad,kg,628.92,805.71,28.11,566.03,870.17,REC1009,synthetic_calibrated
PRC0031249,2026-03-01,PCB-MBH,PCB,Motherboard (high grade),Pune,kg,622.07,796.94,28.11,559.86,860.7,REC1000,synthetic_calibrated
PRC0052448,2026-03-01,PCB-MIX,PCB,Mixed populated board,Aurangabad,kg,326.77,422.16,29.19,294.09,455.93,REC1038,synthetic_calibrated
PRC0050255,2026-03-01,PCB-MIX,PCB,Mixed populated board,Mumbai,kg,367.17,474.35,29.19,330.45,512.3,REC1003,synthetic_calibrated
PRC0051717,2026-03-01,PCB-MIX,PCB,Mixed populated board,Nagpur,kg,330.75,427.3,29.19,297.68,461.48,REC1001,synthetic_calibrated
PRC0050986,2026-03-01,PCB-MIX,PCB,Mixed populated board,Nashik,kg,334.05,431.56,29.19,300.65,466.08,REC1042,synthetic_calibrated
PRC0049524,2026-03-01,PCB-MIX,PCB,Mixed populated board,Pimpri-Chinchwad,kg,343.36,443.59,29.19,309.02,479.08,REC1009,synthetic_calibrated
PRC0048793,2026-03-01,PCB-MIX,PCB,Mixed populated board,Pune,kg,354.33,457.77,29.19,318.9,494.39,REC1000,synthetic_calibrated
PRC0039290,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Aurangabad,kg,1978.78,2492.24,25.95,1780.9,2691.62,REC1038,synthetic_calibrated
PRC0037097,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Mumbai,kg,2163.45,2724.83,25.95,1947.1,2942.82,REC1003,synthetic_calibrated
PRC0038559,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Nagpur,kg,1892.84,2384.0,25.95,1703.56,2574.72,REC1001,synthetic_calibrated
PRC0037828,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Nashik,kg,2080.42,2620.25,25.95,1872.38,2829.87,REC1042,synthetic_calibrated
PRC0036366,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Pimpri-Chinchwad,kg,2049.08,2580.78,25.95,1844.17,2787.24,REC1009,synthetic_calibrated
PRC0035635,2026-03-01,PCB-RAM,PCB,RAM / gold-finger,Pune,kg,1931.35,2432.5,25.95,1738.22,2627.1,REC1000,synthetic_calibrated
PRC0109466,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Aurangabad,kg,31.84,35.6,11.81,28.66,38.45,REC1038,synthetic_calibrated
PRC0107273,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Mumbai,kg,33.47,37.42,11.8,30.12,40.41,REC1003,synthetic_calibrated
PRC0108735,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Nagpur,kg,31.56,35.29,11.82,28.4,38.11,REC1001,synthetic_calibrated
PRC0108004,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Nashik,kg,31.88,35.64,11.79,28.69,38.49,REC1042,synthetic_calibrated
PRC0106542,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Pimpri-Chinchwad,kg,31.55,35.27,11.79,28.4,38.09,REC1009,synthetic_calibrated
PRC0105811,2026-03-01,PLA-ABS,Mixed plastic,ABS casing,Pune,kg,33.83,37.82,11.79,30.45,40.85,REC1000,synthetic_calibrated
PRC0113852,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Aurangabad,kg,25.13,27.83,10.74,22.62,30.06,REC1038,synthetic_calibrated
PRC0111659,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Mumbai,kg,26.72,29.59,10.74,24.05,31.96,REC1003,synthetic_calibrated
PRC0113121,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Nagpur,kg,25.35,28.07,10.73,22.82,30.32,REC1001,synthetic_calibrated
PRC0112390,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Nashik,kg,25.17,27.87,10.73,22.65,30.1,REC1042,synthetic_calibrated
PRC0110928,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Pimpri-Chinchwad,kg,25.73,28.49,10.73,23.16,30.77,REC1009,synthetic_calibrated
PRC0110197,2026-03-01,PLA-HIPS,Mixed plastic,HIPS,Pune,kg,26.71,29.58,10.75,24.04,31.95,REC1000,synthetic_calibrated
PRC0122624,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Aurangabad,kg,10.86,11.91,9.67,9.77,12.86,REC1038,synthetic_calibrated
PRC0120431,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Mumbai,kg,12.84,14.08,9.66,11.56,15.21,REC1003,synthetic_calibrated
PRC0121893,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Nagpur,kg,11.48,12.59,9.67,10.33,13.6,REC1001,synthetic_calibrated
PRC0121162,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Nashik,kg,11.67,12.8,9.68,10.5,13.82,REC1042,synthetic_calibrated
PRC0119700,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Pimpri-Chinchwad,kg,12.16,13.33,9.62,10.94,14.4,REC1009,synthetic_calibrated
PRC0118969,2026-03-01,PLA-MIX,Mixed plastic,Mixed dirty,Pune,kg,12.14,13.31,9.64,10.93,14.37,REC1000,synthetic_calibrated
PRC0118238,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Aurangabad,kg,33.21,37.49,12.89,29.89,40.49,REC1038,synthetic_calibrated
PRC0116045,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Mumbai,kg,38.12,43.03,12.88,34.31,46.47,REC1003,synthetic_calibrated
PRC0117507,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Nagpur,kg,33.97,38.34,12.86,30.57,41.41,REC1001,synthetic_calibrated
PRC0116776,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Nashik,kg,34.42,38.85,12.87,30.98,41.96,REC1042,synthetic_calibrated
PRC0115314,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Pimpri-Chinchwad,kg,35.8,40.41,12.88,32.22,43.64,REC1009,synthetic_calibrated
PRC0114583,2026-03-01,PLA-PCABS,Mixed plastic,PC/ABS blend,Pune,kg,36.18,40.84,12.88,32.56,44.11,REC1000,synthetic_calibrated
PRC0087537,2026-03-02,BAT-BTN,Battery,Button / coin cell,Aurangabad,kg,28.05,34.64,23.49,25.24,37.41,REC1038,synthetic_calibrated
PRC0085344,2026-03-02,BAT-BTN,Battery,Button / coin cell,Mumbai,kg,32.18,39.74,23.49,28.96,42.92,REC1003,synthetic_calibrated
