material_code,city,material_category,sub_category,unit,buying_price_informal,quoted_price_formal,spread_pct,market_range_low,market_range_high,chg_7d_pct,chg_30d_pct,trend_7d,as_of_date
LCD-LAP,Behala,LCD/LED panel,Laptop panel,kg,36.15,44.4,22.82,32.53,47.95,-1.58,-3.75,down,2026-08-31
LCD-LAP,Tollygunge,LCD/LED panel,Laptop panel,kg,37.7,46.31,22.84,33.93,50.01,-0.16,-3.53,flat,2026-08-31
LCD-LAP,Dum Dum,LCD/LED panel,Laptop panel,kg,39.9,49.01,22.83,35.91,52.93,3.23,1.45,up,2026-08-31
LCD-MON,Rajarhat,LCD/LED panel,Monitor panel,kg,29.66,36.11,21.75,26.69,39.0,1.47,-2.21,up,2026-08-31
LCD-MON,Howrah,LCD/LED panel,Monitor panel,kg,32.4,39.44,21.73,29.16,42.6,-2.61,-4.76,down,2026-08-31
LCD-MON,Salt Lake (Bidhannagar),LCD/LED panel,Monitor panel,kg,29.77,36.24,21.73,26.79,39.14,0.17,-2.49,flat,2026-08-31
LCD-MON,New Town,LCD/LED panel,Monitor panel,kg,31.35,38.17,21.75,28.22,41.22,4.78,1.16,up,2026-08-31
LCD-MON,Park Street,LCD/LED panel,Monitor panel,kg,30.62,37.28,21.75,27.56,40.26,-4.43,-7.24,down,2026-08-31
LCD-MON,Ballygunge,LCD/LED panel,Monitor panel,kg,32.09,39.07,21.75,28.88,42.2,2.46,-3.92,up,2026-08-31
LCD-TV,Gariahat,LCD/LED panel,TV panel,kg,25.2,30.41,20.67,22.68,32.84,3.32,4.78,up,2026-08-31
LCD-TV,Behala,LCD/LED panel,TV panel,kg,27.76,33.49,20.64,24.98,36.17,3.31,1.87,up,2026-08-31
LCD-TV,Tollygunge,LCD/LED panel,TV panel,kg,25.83,31.17,20.67,23.25,33.66,5.04,2.83,up,2026-08-31
LCD-TV,Dum Dum,LCD/LED panel,TV panel,kg,25.09,30.27,20.65,22.58,32.69,-1.06,-1.45,down,2026-08-31
LCD-TV,Rajarhat,LCD/LED panel,TV panel,kg,26.93,32.49,20.65,24.24,35.09,2.2,5.4,up,2026-08-31
LCD-TV,Howrah,LCD/LED panel,TV panel,kg,26.89,32.44,20.64,24.2,35.04,2.28,-3.24,up,2026-08-31
MTR-CMP,Salt Lake (Bidhannagar),Motor & magnet-bearing,Compressor motor,kg,55.68,66.01,18.55,50.11,71.29,3.34,-3.55,up,2026-08-31
MTR-CMP,New Town,Motor & magnet-bearing,Compressor motor,kg,62.57,74.18,18.56,56.31,80.11,1.56,-1.68,up,2026-08-31
MTR-CMP,Park Street,Motor & magnet-bearing,Compressor motor,kg,57.19,67.8,18.55,51.47,73.22,1.28,-0.1,up,2026-08-31
MTR-CMP,Ballygunge,Motor & magnet-bearing,Compressor motor,kg,60.68,71.94,18.56,54.61,77.7,5.26,5.13,up,2026-08-31
MTR-CMP,Gariahat,Motor & magnet-bearing,Compressor motor,kg,60.84,72.12,18.54,54.76,77.89,0.18,5.79,flat,2026-08-31
MTR-CMP,Behala,Motor & magnet-bearing,Compressor motor,kg,60.94,72.24,18.54,54.85,78.02,7.74,-0.49,up,2026-08-31
MTR-HDD,Tollygunge,Motor & magnet-bearing,HDD assembly,kg,137.3,173.25,26.18,123.57,187.11,4.44,3.33,up,2026-08-31
MTR-HDD,Dum Dum,Motor & magnet-bearing,HDD assembly,kg,151.92,191.7,26.18,136.73,207.04,3.3,0.16,up,2026-08-31
MTR-HDD,Rajarhat,Motor & magnet-bearing,HDD assembly,kg,144.56,182.41,26.18,130.1,197.0,6.49,6.78,up,2026-08-31
MTR-HDD,Howrah,Motor & magnet-bearing,HDD assembly,kg,139.49,176.02,26.19,125.54,190.1,0.55,0.5,flat,2026-08-31
MTR-HDD,Salt Lake (Bidhannagar),Motor & magnet-bearing,HDD assembly,kg,146.3,184.61,26.19,131.67,199.38,0.12,3.97,flat,2026-08-31
MTR-HDD,New Town,Motor & magnet-bearing,HDD assembly,kg,146.13,184.4,26.19,131.52,199.15,5.49,0.19,up,2026-08-31
MTR-SML,Park Street,Motor & magnet-bearing,Small AC/DC motor,kg,67.71,81.75,20.74,60.94,88.29,3.11,-0.31,up,2026-08-31
MTR-SML,Ballygunge,Motor & magnet-bearing,Small AC/DC motor,kg,73.33,88.53,20.73,66.0,95.61,-3.18,-0.31,down,2026-08-31
MTR-SML,Gariahat,Motor & magnet-bearing,Small AC/DC motor,kg,67.66,81.69,20.74,60.89,88.23,1.9,0.4,up,2026-08-31
MTR-SML,Behala,Motor & magnet-bearing,Small AC/DC motor,kg,68.98,83.28,20.73,62.08,89.94,1.43,0.82,up,2026-08-31
MTR-SML,Tollygunge,Motor & magnet-bearing,Small AC/DC motor,kg,70.87,85.56,20.73,63.78,92.4,-1.87,1.59,down,2026-08-31
MTR-SML,Dum Dum,Motor & magnet-bearing,Small AC/DC motor,kg,72.95,88.07,20.73,65.66,95.12,2.47,-0.78,up,2026-08-31
MTR-SPK,Rajarhat,Motor & magnet-bearing,Speaker magnet,kg,89.84,112.39,25.1,80.86,121.38,-2.74,0.36,down,2026-08-31
MTR-SPK,Howrah,Motor & magnet-bearing,Speaker magnet,kg,100.22,125.37,25.09,90.2,135.4,3.36,-5.54,up,2026-08-31
MTR-SPK,Salt Lake (Bidhannagar),Motor & magnet-bearing,Speaker magnet,kg,93.34,116.76,25.09,84.01,126.1,2.5,1.53,up,2026-08-31
MTR-SPK,New Town,Motor & magnet-bearing,Speaker magnet,kg,98.04,122.64,25.09,88.24,132.45,4.15,6.65,up,2026-08-31
MTR-SPK,Park Street,Motor & magnet-bearing,Speaker magnet,kg,99.12,123.99,25.09,89.21,133.91,8.27,0.6,up,2026-08-31
MTR-SPK,Ballygunge,Motor & magnet-bearing,Speaker magnet,kg,97.94,122.52,25.1,88.15,132.32,-3.12,0.45,down,2026-08-31
PCB-GPU,Gariahat,PCB,GPU / add-on card,kg,706.86,901.03,27.47,636.17,973.11,3.33,-5.61,up,2026-08-31
PCB-GPU,Behala,PCB,GPU / add-on card,kg,876.38,1117.12,27.47,788.74,1206.49,12.88,8.66,up,2026-08-31
PCB-GPU,Tollygunge,PCB,GPU / add-on card,kg,770.21,981.79,27.47,693.19,1060.33,12.26,-0.08,up,2026-08-31
PCB-GPU,Dum Dum,PCB,GPU / add-on card,kg,855.38,1090.35,27.47,769.84,1177.58,8.37,14.6,up,2026-08-31
PCB-GPU,Rajarhat,PCB,GPU / add-on card,kg,827.52,1054.84,27.47,744.77,1139.23,3.42,6.05,up,2026-08-31
PCB-GPU,Howrah,PCB,GPU / add-on card,kg,810.99,1033.77,27.47,729.89,1116.47,7.04,15.94,up,2026-08-31
PCB-LOW,Salt Lake (Bidhannagar),PCB,TV / appliance board (low grade),kg,133.73,174.87,30.76,120.36,188.86,9.33,5.66,up,2026-08-31
PCB-LOW,New Town,PCB,TV / appliance board (low grade),kg,148.78,194.55,30.76,133.9,210.11,5.97,3.0,up,2026-08-31
PCB-LOW,Park Street,PCB,TV / appliance board (low grade),kg,132.31,173.02,30.77,119.08,186.86,5.48,9.24,up,2026-08-31
PCB-LOW,Ballygunge,PCB,TV / appliance board (low grade),kg,134.11,175.37,30.77,120.7,189.4,6.7,3.5,up,2026-08-31
PCB-LOW,Gariahat,PCB,TV / appliance board (low grade),kg,135.82,177.61,30.77,122.24,191.82,5.0,5.27,up,2026-08-31
PCB-LOW,Behala,PCB,TV / appliance board (low grade),kg,150.97,197.42,30.77,135.87,213.21,9.37,9.53,up,2026-08-31
PCB-MBH,Tollygunge,PCB,Motherboard (high grade),kg,608.03,781.74,28.57,547.23,844.28,4.41,9.65,up,2026-08-31
PCB-MBH,Dum Dum,PCB,Motherboard (high grade),kg,672.57,864.72,28.57,605.31,933.9,11.12,4.66,up,2026-08-31
PCB-MBH,Rajarhat,PCB,Motherboard (high grade),kg,598.42,769.38,28.57,538.58,830.93,2.8,0.74,up,2026-08-31
PCB-MBH,Howrah,PCB,Motherboard (high grade),kg,651.5,837.63,28.57,586.35,904.64,7.67,3.19,up,2026-08-31
PCB-MBH,Salt Lake (Bidhannagar),PCB,Motherboard (high grade),kg,623.17,801.2,28.57,560.85,865.3,7.14,-6.48,up,2026-08-31
PCB-MBH,New Town,PCB,Motherboard (high grade),kg,688.01,884.57,28.57,619.21,955.34,13.31,6.05,up,2026-08-31
PCB-MIX,Park Street,PCB,Mixed populated board,kg,341.7,443.07,29.67,307.53,478.52,7.52,4.34,up,2026-08-31
PCB-MIX,Ballygunge,PCB,Mixed populated board,kg,396.24,513.79,29.67,356.62,554.89,12.48,14.18,up,2026-08-31
PCB-MIX,Gariahat,PCB,Mixed populated board,kg,332.66,431.35,29.67,299.39,465.86,5.7,-1.12,up,2026-08-31
PCB-MIX,Behala,PCB,Mixed populated board,kg,341.48,442.79,29.67,307.33,478.21,7.52,-0.82,up,2026-08-31
PCB-MIX,Tollygunge,PCB,Mixed populated board,kg,347.26,450.28,29.67,312.53,486.3,4.33,2.48,up,2026-08-31
PCB-MIX,Dum Dum,PCB,Mixed populated board,kg,377.09,488.96,29.67,339.38,528.08,19.84,8.84,up,2026-08-31
PCB-RAM,Rajarhat,PCB,RAM / gold-finger,kg,2031.34,2567.03,26.37,1828.21,2772.39,7.97,-0.71,up,2026-08-31
PCB-RAM,Howrah,PCB,RAM / gold-finger,kg,2190.44,2768.09,26.37,1971.4,2989.54,8.69,4.01,up,2026-08-31
PCB-RAM,Salt Lake (Bidhannagar),PCB,RAM / gold-finger,kg,2095.5,2648.11,26.37,1885.95,2859.96,7.31,12.8,up,2026-08-31
PCB-RAM,New Town,PCB,RAM / gold-finger,kg,2020.99,2553.95,26.37,1818.89,2758.27,1.77,0.05,up,2026-08-31
PCB-RAM,Park Street,PCB,RAM / gold-finger,kg,2082.1,2631.17,26.37,1873.89,2841.66,7.37,8.06,up,2026-08-31
PCB-RAM,Ballygunge,PCB,RAM / gold-finger,kg,2118.89,2677.67,26.37,1907.0,2891.88,6.37,0.92,up,2026-08-31
PLA-ABS,Gariahat,Mixed plastic,ABS casing,kg,31.69,35.46,11.9,28.52,38.3,4.04,1.02,up,2026-08-31
PLA-ABS,Behala,Mixed plastic,ABS casing,kg,33.62,37.62,11.9,30.26,40.63,1.02,-1.06,up,2026-08-31
PLA-ABS,Tollygunge,Mixed plastic,ABS casing,kg,31.76,35.54,11.9,28.58,38.38,0.83,3.15,up,2026-08-31
PLA-ABS,Dum Dum,Mixed plastic,ABS casing,kg,32.31,36.16,11.92,29.08,39.05,1.76,1.25,up,2026-08-31
PLA-ABS,Rajarhat,Mixed plastic,ABS casing,kg,33.5,37.49,11.91,30.15,40.49,4.92,5.21,up,2026-08-31
PLA-ABS,Howrah,Mixed plastic,ABS casing,kg,33.38,37.35,11.89,30.04,40.34,-1.27,-2.51,down,2026-08-31
PLA-HIPS,Salt Lake (Bidhannagar),Mixed plastic,HIPS,kg,24.25,26.87,10.8,21.82,29.02,-0.16,-0.21,flat,2026-08-31
PLA-HIPS,New Town,Mixed plastic,HIPS,kg,27.28,30.23,10.81,24.55,32.65,2.67,0.15,up,2026-08-31
PLA-HIPS,Park Street,Mixed plastic,HIPS,kg,24.75,27.43,10.83,22.28,29.62,-0.92,3.08,down,2026-08-31
PLA-HIPS,Ballygunge,Mixed plastic,HIPS,kg,24.97,27.67,10.81,22.47,29.88,-0.79,-3.89,flat,2026-08-31
PLA-HIPS,Gariahat,Mixed plastic,HIPS,kg,26.25,29.09,10.82,23.62,31.42,-1.39,0.96,down,2026-08-31
PLA-HIPS,Behala,Mixed plastic,HIPS,kg,26.8,29.7,10.82,24.12,32.08,4.36,3.88,up,2026-08-31
PLA-MIX,Tollygunge,Mixed plastic,Mixed dirty,kg,11.59,12.72,9.75,10.43,13.74,2.75,5.56,up,2026-08-31
PLA-MIX,Dum Dum,Mixed plastic,Mixed dirty,kg,12.45,13.66,9.72,11.2,14.75,-1.03,3.92,down,2026-08-31
PLA-MIX,Rajarhat,Mixed plastic,Mixed dirty,kg,11.37,12.48,9.76,10.23,13.48,-4.37,-1.39,down,2026-08-31
PLA-MIX,Howrah,Mixed plastic,Mixed dirty,kg,10.98,12.05,9.74,9.88,13.01,-6.71,-6.31,down,2026-08-31
PLA-MIX,Salt Lake (Bidhannagar),Mixed plastic,Mixed dirty,kg,11.36,12.47,9.77,10.22,13.47,-4.46,-2.57,down,2026-08-31
PLA-MIX,New Town,Mixed plastic,Mixed dirty,kg,11.99,13.16,9.76,10.79,14.21,-3.31,3.54,down,2026-08-31
PLA-PCABS,Park Street,Mixed plastic,PC/ABS blend,kg,35.07,39.62,12.97,31.56,42.79,2.9,2.01,up,2026-08-31
PLA-PCABS,Ballygunge,Mixed plastic,PC/ABS blend,kg,38.03,42.97,12.99,34.23,46.41,0.34,5.2,flat,2026-08-31
PLA-PCABS,Gariahat,Mixed plastic,PC/ABS blend,kg,34.65,39.15,12.99,31.18,42.28,0.49,2.82,flat,2026-08-31
PLA-PCABS,Behala,Mixed plastic,PC/ABS blend,kg,34.42,38.89,12.99,30.98,42.0,-2.74,-1.06,down,2026-08-31
PLA-PCABS,Tollygunge,Mixed plastic,PC/ABS blend,kg,35.84,40.49,12.97,32.26,43.73,-1.29,-0.67,down,2026-08-31
PLA-PCABS,Dum Dum,Mixed plastic,PC/ABS blend,kg,36.12,40.81,12.98,32.51,44.07,-0.55,-0.33,flat,2026-08-31
