recycler_id,name,facility_type,city,industrial_estate,lat,lng,materials_accepted,cpcb_registration_no,authorisation_status,authorisation_valid_till,contact_phone,offered_rate_multiplier,pickup_available,min_lot_weight_kg,service_area_radius_km,avg_settlement_hours,rating,capacity_tonnes_per_month,verified_on,is_synthetic
REC1024,Green Materials Enterprises,authorised_aggregator,Gariahat,Gariahat,22.519956999999998,88.363048,Battery|Cable|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/4241,expiring_soon,2026-10-09,+91-9930538562,1.049,False,50,25,2,4.4,50,2025-07-27,True
REC1025,Konkan Urban Mining Enterprises,authorised_recycler,Behala,Behala,22.497502,88.311995,Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/8916,active,2027-08-14,+91-9843476946,0.965,False,0,35,24,4.4,80,2025-06-10,True
REC1026,Vishwa Enviro Solutions Pvt Ltd,authorised_recycler,Tollygunge,Tollygunge,22.49607,88.349767,Cable|Mixed plastic|Motor & magnet-bearing,MH/EW/2019/6759,active,2027-07-18,+91-9974962284,1.04,True,5,15,24,4.0,50,2026-07-31,True
REC1027,Green Green Tech Pvt Ltd,authorised_aggregator,Dum Dum,Dum Dum,22.64348,88.432291,Battery|Cable|Mixed plastic|Motor & magnet-bearing,MH/EW/2022/8849,active,2027-09-05,+91-9572137086,1.024,False,0,15,24,4.3,20,2026-05-11,True
REC1028,Green Enviro LLP,authorised_recycler,Rajarhat,Rajarhat,22.606711,88.482291,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/1548,active,2027-02-26,+91-9147124796,1.09,True,10,50,24,4.8,350,2025-08-01,True
REC1029,Konkan Metals Industries,authorised_aggregator,Howrah,Howrah,22.592434,88.262395,Battery|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/4018,expired,2025-10-26,+91-9510339401,0.998,True,10,12,24,4.2,80,2026-06-02,True
REC1030,Aadi Recovery Industries,authorised_recycler,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.591595,88.4192,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|PCB,MH/EW/2021/9179,active,2028-09-28,+91-9314636887,0.976,True,25,20,24,4.6,200,2026-01-24,True
REC1031,Vishwa Enviro Recycling Pvt Ltd,authorised_recycler,New Town,New Town,22.590469,88.476246,Battery|Cable|LCD/LED panel|Mixed plastic,MH/EW/2021/6198,expiring_soon,2026-10-28,+91-9639953891,0.971,True,25,25,24,4.3,80,2025-08-22,True
REC1032,Deccan Recovery Industries,authorised_recycler,Park Street,Park Street,22.554429,88.35516,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/6787,active,2028-11-23,+91-9973210628,1.023,True,25,25,72,4.5,200,2026-06-24,True
REC1033,Sai Enviro Industries,authorised_recycler,Ballygunge,Ballygunge,22.52529,88.360921,CRT|Cable|LCD/LED panel,MH/EW/2022/3400,active,2028-10-17,+91-9471663563,1.03,False,5,12,6,3.8,80,2025-10-24,True
REC1034,Nirmal Urban Mining Associates,authorised_aggregator,Gariahat,Gariahat,22.516755,88.362077,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/1762,active,2028-05-12,+91-9871507319,0.956,True,25,25,24,4.2,80,2025-06-23,True
REC1035,Samruddhi E-Waste Solutions Pvt Ltd,authorised_recycler,Behala,Behala,22.49591,88.319329,Battery|CRT|Cable|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2025/6037,suspended,2027-01-29,+91-9625904417,1.043,True,10,50,48,3.2,200,2025-08-04,True
REC1036,Konkan E-Waste Enterprises,authorised_aggregator,Tollygunge,Tollygunge,22.502164,88.343547,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2023/9067,expiring_soon,2026-10-26,+91-9726865875,1.078,True,25,35,72,4.4,50,2026-03-16,True
REC1037,EcoCircle Green Tech Industries,authorised_aggregator,Dum Dum,Dum Dum,22.643553999999998,88.43015600000001,Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2021/6602,active,2027-12-30,+91-9265440985,1.031,False,25,25,48,4.2,350,2026-04-04,True
REC1038,Sai Scrap Recycling Pvt Ltd,authorised_recycler,Rajarhat,Rajarhat,22.614145,88.479589,Battery|CRT|Cable|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2022/4339,active,2027-12-03,+91-9492561622,1.018,False,0,8,2,4.5,80,2025-12-30,True
REC1039,Nova E-Waste Solutions Pvt Ltd,authorised_dismantler,Howrah,Howrah,22.593449,88.261066,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|PCB,MH/EW/2024/1380,suspended,2027-03-26,+91-9216526949,0.959,True,50,50,48,4.3,50,2026-05-24,True
REC1040,Shree Metals Solutions Pvt Ltd,authorised_recycler,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.587314,88.415427,CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/5141,active,2028-05-12,+91-9160852159,0.956,False,25,20,72,4.1,50,2026-06-10,True
REC1041,Om Resource Pvt Ltd,authorised_aggregator,New Town,New Town,22.590746,88.478378,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/3169,suspended,2027-01-03,+91-9181895280,1.031,True,0,35,2,4.1,200,2026-05-10,True
REC1042,Konkan E-Waste Recycling Pvt Ltd,authorised_recycler,Park Street,Park Street,22.549993999999998,88.349593,CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2020/1727,active,2027-05-23,+91-9678669966,1.001,True,0,20,48,4.6,20,2025-09-16,True
REC1043,Vishwa Materials Recycling Pvt Ltd,authorised_recycler,Ballygunge,Ballygunge,22.532975,88.365695,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/8924,suspended,2026-12-27,+91-9502142006,1.008,False,0,35,12,3.5,350,2026-06-12,True
REC1044,EcoCircle Metals Pvt Ltd,authorised_dismantler,Gariahat,Gariahat,22.514509,88.359871,LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2025/4048,active,2027-05-11,+91-9449609646,0.973,True,5,12,6,4.6,80,2026-05-05,True
REC1045,Samruddhi Materials Pvt Ltd,authorised_aggregator,Behala,Behala,22.494896,88.31617399999999,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2023/2945,active,2028-03-03,+91-9818441755,1.105,False,0,50,48,4.3,50,2025-05-03,True
REC1046,Vidarbha Materials Associates,authorised_recycler,Tollygunge,Tollygunge,22.501321,88.344622,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/9789,active,2028-06-18,+91-9866630407,0.959,False,25,15,2,3.4,120,2026-05-21,True
REC1047,Nova Recyclers Pvt Ltd,authorised_aggregator,Dum Dum,Dum Dum,22.637635,88.43001600000001,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2023/2105,active,2027-12-09,+91-9356341424,0.962,False,0,20,24,3.6,200,2026-06-11,True
REC1048,Maharashtra Scrap Associates,authorised_aggregator,Rajarhat,Rajarhat,22.614961,88.48029100000001,CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/9617,active,2029-01-13,+91-9447328588,1.014,False,10,15,24,3.9,500,2025-10-31,True
REC1049,Samruddhi Resource Associates,authorised_dismantler,Howrah,Howrah,22.600511,88.267208,Cable|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/1721,suspended,2027-01-06,+91-9201140954,1.044,False,50,50,24,4.1,200,2025-07-26,True
REC1050,Prithvi Recovery Industries,authorised_aggregator,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.581815,88.420007,CRT|Motor & magnet-bearing|PCB,MH/EW/2023/5644,active,2028-10-04,+91-9459248143,1.017,False,25,35,6,4.2,80,2025-10-23,True
REC1051,Ganesh Urban Mining Industries,authorised_recycler,New Town,New Town,22.591717,88.47477,Battery|Cable|PCB,MH/EW/2024/9799,active,2027-06-11,+91-9883085894,1.022,True,0,15,48,4.1,80,2025-11-26,True
REC1052,Aadi Urban Mining Recycling Pvt Ltd,authorised_aggregator,Park Street,Park Street,22.548668,88.35381000000001,Cable|LCD/LED panel|Mixed plastic|PCB,MH/EW/2022/8870,active,2027-04-19,+91-9110935707,0.939,True,10,12,6,3.7,80,2026-01-19,True
REC1053,Nova Resource Enterprises,authorised_aggregator,Ballygunge,Ballygunge,22.524116,88.364948,CRT|Cable|PCB,MH/EW/2023/1298,active,2028-01-23,+91-9848322810,0.955,False,0,12,12,4.8,80,2025-04-03,True
REC1054,Nirmal E-Waste Industries,authorised_dismantler,Gariahat,Gariahat,22.518137,88.368938,Battery|LCD/LED panel|PCB,MH/EW/2024/7697,expired,2026-02-09,+91-9941202254,1.101,True,50,25,24,4.1,350,2025-12-22,True
REC1055,Samruddhi Metals Associates,authorised_recycler,Behala,Behala,22.502558999999998,88.312534,CRT|Cable|Motor & magnet-bearing|PCB,MH/EW/2021/1228,active,2027-12-10,+91-9354978547,1.055,False,50,12,24,4.3,350,2025-10-02,True
REC1056,Prithvi Urban Mining Enterprises,authorised_recycler,Tollygunge,Tollygunge,22.498406,88.342187,Battery|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/5775,expired,2026-07-19,+91-9490232939,0.951,False,25,35,24,3.8,80,2026-04-27,True
REC1057,Vishwa E-Waste Industries,authorised_recycler,Dum Dum,Dum Dum,22.646126,88.434905,Battery|CRT|Cable|PCB,MH/EW/2023/2022,active,2027-03-22,+91-9357338182,0.94,False,10,12,48,4.6,80,2025-12-05,True
REC1058,Vishwa Enviro Pvt Ltd,authorised_recycler,Rajarhat,Rajarhat,22.607984,88.48138900000001,Battery|Cable|Motor & magnet-bearing|PCB,MH/EW/2023/4308,expired,2026-03-08,+91-9479691633,0.96,True,0,8,6,4.4,350,2025-12-04,True
REC1059,EcoCircle Metals Industries,authorised_dismantler,Howrah,Howrah,22.596890000000002,88.260128,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2022/7558,active,2028-01-17,+91-9900952518,1.098,False,50,12,24,4.0,120,2026-01-01,True
REC1060,Vishwa Enviro LLP,authorised_recycler,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.589325,88.418194,Battery|Mixed plastic|Motor & magnet-bearing,MH/EW/2024/7814,active,2027-03-03,+91-9346191662,0.978,True,50,8,48,4.3,200,2025-12-17,True
REC1061,Aadi Green Tech Solutions Pvt Ltd,authorised_recycler,New Town,New Town,22.592686,88.474704,CRT|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/8929,expiring_soon,2026-09-10,+91-9609141723,1.032,True,0,12,12,4.7,200,2026-06-13,True
REC1062,Shree Metals Enterprises,authorised_aggregator,Park Street,Park Street,22.546006,88.35064200000001,Battery|Cable|LCD/LED panel|Motor & magnet-bearing,MH/EW/2025/4645,active,2027-06-28,+91-9423683662,0.99,False,0,20,24,3.7,350,2026-02-18,True
REC1063,Bharat Enviro Enterprises,authorised_recycler,Ballygunge,Ballygunge,22.523194999999998,88.369891,CRT|Cable|LCD/LED panel|Motor & magnet-bearing,MH/EW/2024/6335,expiring_soon,2026-10-02,+91-9444134942,1.024,True,0,20,72,4.1,350,2025-06-05,True
REC1064,Green Recyclers Industries,authorised_aggregator,Gariahat,Gariahat,22.522387,88.367717,CRT|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2019/7707,suspended,2027-05-02,+91-9402936790,0.937,False,50,25,72,3.6,500,2025-10-19,True
REC1065,Ganesh Metals LLP,authorised_aggregator,Behala,Behala,22.496875,88.310479,Battery|CRT|LCD/LED panel|Mixed plastic,MH/EW/2025/2181,expired,2026-06-24,+91-9992235597,0.957,True,25,8,12,3.2,500,2026-07-09,True
REC1066,Konkan Metals Recycling Pvt Ltd,authorised_aggregator,Tollygunge,Tollygunge,22.50218,88.349869,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/3209,active,2028-01-20,+91-9433922957,1.005,False,0,35,2,4.2,350,2026-08-02,True
REC1067,Trimurti Urban Mining Enterprises,authorised_aggregator,Dum Dum,Dum Dum,22.637857,88.43106,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2024/8156,active,2027-06-01,+91-9724828379,0.968,False,0,20,72,4.0,80,2026-03-18,True
REC1068,Vidarbha Recovery Enterprises,authorised_recycler,Rajarhat,Rajarhat,22.605691999999998,88.482606,Battery|CRT|Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2024/2082,expired,2026-04-03,+91-9841490637,0.955,True,0,25,24,4.9,50,2026-04-08,True
REC1069,Trimurti Urban Mining Industries,authorised_dismantler,Howrah,Howrah,22.598458,88.259884,Battery|CRT|Cable|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2023/9240,active,2028-09-04,+91-9717450224,1.033,True,25,35,72,3.4,200,2025-09-08,True
REC1070,Maharashtra E-Waste Industries,authorised_recycler,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar),22.586453,88.418298,Cable|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2021/9725,active,2028-02-25,+91-9661025516,1.03,False,25,20,6,3.8,350,2025-07-31,True
REC1071,Maharashtra Green Tech Recycling Pvt Ltd,authorised_recycler,New Town,New Town,22.587551,88.47812400000001,Cable|LCD/LED panel|Motor & magnet-bearing|PCB,MH/EW/2020/2696,active,2027-06-13,+91-9116873158,0.984,False,50,20,24,4.1,350,2025-11-25,True
REC1072,Aadi Resource Pvt Ltd,authorised_recycler,Park Street,Park Street,22.550231,88.349518,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing,MH/EW/2021/5825,active,2028-10-05,+91-9158648383,1.004,False,0,20,72,4.5,350,2026-02-02,True
REC1073,Green Enviro Enterprises,authorised_recycler,Ballygunge,Ballygunge,22.528392999999998,88.367899,Battery|CRT|LCD/LED panel|Mixed plastic|Motor & magnet-bearing|PCB,MH/EW/2025/2623,active,2028-07-09,+91-9783445468,1.004,False,50,20,48,4.1,120,2026-03-10,True
REC1074,Sai Scrap LLP,authorised_dismantler,Gariahat,Gariahat,22.515612,88.362517,Battery|Cable|PCB,MH/EW/2019/6217,active,2028-06-29,+91-9680005112,0.999,False,10,20,24,4.7,80,2025-05-26,True
