txn_id,lot_image_ref,lot_id,collector_id,recycler_id,material_category,material_code,weight_kg,weight_verified_kg,quoted_price,final_price,informal_benchmark_value,collection_city,collection_lat,collection_lng,handover_lat,handover_lng,handover_distance_km,quoted_at,handed_over_at,confirmed_at,settled_at,payment_mode,payment_status,txn_status,pickup_by_recycler,recycler_authorisation_at_txn,recycler_authorised_at_txn,is_anomaly,anomaly_type
TXN500010,img/lots/104819.jpg,LOT104819,COL2359,REC1073,PCB,PCB-MIX,5.5,5.2,2289.36,2230.63,1768.3,Mumbai,19.039651,72.884131,19.067752,73.07251,20.04,2025-03-02T04:51,2025-03-05T04:41,2025-03-05T18:12,2025-03-07T04:13,upi,paid,settled,False,active,True,False,
TXN500011,img/lots/100997.jpg,LOT100997,COL2350,REC1059,PCB,PCB-MBH,10.5,9.9,8272.63,7887.41,5891.76,Aurangabad,19.869533,75.326163,19.884991,75.415283,9.48,2025-03-02T03:51,2025-03-03T06:47,2025-03-03T16:25,2025-03-05T01:49,cash,paid,settled,False,active,True,False,
TXN500012,img/lots/101516.jpg,LOT101516,COL2361,REC1016,PCB,PCB-LOW,2.8,2.8,490.69,477.3,389.87,Mumbai,19.061713,72.934189,19.09417,72.984504,6.4,2025-03-02T16:09,2025-03-03T18:14,2025-03-04T03:21,2025-03-04T03:44,upi,paid,settled,False,active,True,False,
TXN500013,img/lots/119055.jpg,LOT119055,COL2350,REC1059,LCD/LED panel,LCD-BLA,31.7,30.4,1674.55,1599.39,1288.29,Aurangabad,19.951336,75.279075,19.884991,75.415283,16.04,2025-03-02T04:14,2025-03-02T12:36,2025-03-02T20:33,2025-03-03T03:17,upi,paid,settled,False,active,True,False,
TXN500014,img/lots/118345.jpg,LOT118345,COL2380,REC1032,Battery,BAT-LI,6.8,6.7,862.25,856.75,651.03,Pimpri-Chinchwad,18.616935,73.713265,18.620266,73.821743,11.44,2025-03-01T16:05,2025-03-03T00:13,2025-03-03T00:40,2025-03-04T01:25,upi,paid,settled,True,active,True,False,
TXN500015,img/lots/112678.jpg,LOT112678,COL2139,REC1034,CRT,CRT-CTV,13.1,12.6,254.98,235.92,199.64,Mumbai,19.084572,72.900212,19.061762,73.088075,19.9,2025-03-02T04:37,2025-03-03T14:27,2025-03-03T14:44,2025-03-04T18:12,cash,paid,settled,True,active,True,False,
TXN500016,img/lots/115628.jpg,LOT115628,COL2350,REC1059,PCB,PCB-RAM,6.3,6.4,16677.99,16065.27,12080.69,Aurangabad,19.884004,75.374126,19.884991,75.415283,4.31,2025-03-02T04:51,2025-03-05T09:45,2025-03-05T21:35,2025-03-06T13:35,cash,paid,settled,False,active,True,False,
TXN500017,img/lots/102578.jpg,LOT102578,COL2139,REC1025,Motor & magnet-bearing,MTR-SPK,56.9,55.0,6908.04,6716.4,5735.52,Mumbai,19.082676,72.827324,19.118039,73.013026,19.9,2025-03-02T15:21,2025-03-02T20:38,2025-03-03T12:15,2025-03-04T19:06,upi,paid,settled,False,active,True,False,
TXN500018,img/lots/119369.jpg,LOT119369,COL2253,REC1043,Battery,BAT-BTN,5.7,5.5,242.76,228.84,194.2,Pimpri-Chinchwad,18.644601,73.796551,18.623496,73.810212,2.75,2025-03-02T11:40,,,,cash,not_due,quoted,False,suspended,False,False,
TXN500019,img/lots/103981.jpg,LOT103981,COL2267,REC1051,Battery,BAT-LI,7.1,6.9,831.12,814.82,628.14,Nashik,20.009333,73.793795,19.987342,73.74065,6.07,2025-03-02T14:11,2025-03-04T10:30,2025-03-04T18:30,2025-03-04T18:51,cash,paid,settled,True,active,True,False,
TXN500020,img/lots/115265.jpg,LOT115265,COL2218,REC1018,Cable,CBL-ARM,20.9,21.0,3051.5,2954.4,2817.53,Pune,18.55097,73.856172,18.744455,73.854611,21.52,2025-03-02T10:49,2025-03-06T10:23,2025-03-06T17:49,,upi,paid,confirmed,False,active,True,False,
TXN500021,img/lots/103163.jpg,LOT103163,COL2056,REC1006,Motor & magnet-bearing,MTR-CMP,2.6,2.6,187.31,188.04,159.87,Pune,18.492968,73.880596,18.612589,73.826611,14.47,2025-03-02T03:49,2025-03-03T10:47,2025-03-04T06:07,2025-03-04T07:33,cash,paid,settled,True,active,True,False,
TXN500022,img/lots/103501.jpg,LOT103501,COL2239,REC1017,Mixed plastic,PLA-ABS,43.6,43.4,1540.44,1555.75,1436.62,Nagpur,21.167621,79.093261,20.924287,79.001457,28.69,2025-03-02T01:06,2025-03-04T02:14,2025-03-04T20:02,2025-03-07T00:41,upi,paid,settled,True,active,True,False,
TXN500023,img/lots/114188.jpg,LOT114188,COL2139,REC1073,Motor & magnet-bearing,MTR-CMP,12.9,13.3,914.38,928.94,769.61,Mumbai,19.098741,72.821095,19.067752,73.07251,26.64,2025-03-01T18:38,2025-03-02T22:02,2025-03-03T04:05,2025-03-05T06:50,upi,paid,settled,False,active,True,False,
TXN500024,img/lots/116698.jpg,LOT116698,COL2350,REC1046,Cable,CBL-ARM,15.4,14.6,1904.85,1833.23,1846.77,Aurangabad,19.914283,75.368826,19.892702,75.483491,12.23,2025-03-02T19:31,2025-03-03T10:12,2025-03-03T11:38,2025-03-03T12:01,cash,paid,settled,False,active,True,False,
TXN500025,img/lots/114707.jpg,LOT114707,COL2139,REC1019,LCD/LED panel,LCD-BLA,7.5,7.8,461.79,474.74,350.17,Mumbai,19.05211,72.82092,19.197379,73.19812,42.79,2025-03-02T18:26,2025-03-03T10:50,2025-03-03T23:41,2025-03-05T05:43,upi,paid,settled,False,active,True,False,
TXN500026,img/lots/112046.jpg,LOT112046,COL2007,REC1051,PCB,PCB-MIX,11.7,11.5,5019.36,4986.17,3808.7,Nashik,19.977987,73.807947,19.987342,73.74065,7.11,2025-03-02T11:45,2025-03-03T05:14,2025-03-03T21:13,,cash,pending,confirmed,True,active,True,False,
TXN500027,img/lots/103466.jpg,LOT103466,COL2394,REC1046,LCD/LED panel,LCD-MON,27.0,26.3,954.16,918.62,818.1,Aurangabad,19.786214,75.354115,19.892702,75.483491,17.98,2025-03-02T12:32,2025-03-02T19:09,2025-03-03T11:33,,upi,pending,confirmed,False,active,True,False,
TXN500028,img/lots/117128.jpg,LOT117128,COL2265,REC1000,Cable,CBL-ARM,42.3,40.3,5887.76,5631.05,5702.46,Pune,18.517887,73.921775,19.965501,73.796833,161.5,2025-03-01T22:59,2025-03-03T08:30,2025-03-03T16:10,,upi,pending,confirmed,False,expiring_soon,True,True,impossible_geography
TXN500029,img/lots/111162.jpg,LOT111162,COL2168,REC1030,Battery,BAT-NIMH,7.7,7.4,548.0,517.93,469.32,Pimpri-Chinchwad,18.645355,73.897879,18.683961,73.76457,14.69,2025-03-01T21:27,2025-03-02T03:25,2025-03-02T03:43,2025-03-02T20:49,cash,paid,settled,True,active,True,False,
TXN500030,img/lots/117163.jpg,LOT117163,COL2210,REC1042,LCD/LED panel,LCD-BLA,10.8,11.0,537.19,565.71,453.38,Nashik,19.924954,73.801346,20.007228,73.704275,13.66,2025-03-02T18:47,2025-03-03T04:48,2025-03-04T00:35,2025-03-06T14:57,upi,paid,settled,True,active,True,False,
TXN500031,img/lots/117184.jpg,LOT117184,COL2258,REC1012,LCD/LED panel,LCD-BLA,10.2,9.8,572.21,543.41,476.24,Mumbai,18.988507,72.86144,19.051579,72.877861,7.22,2025-03-01T22:08,2025-03-02T16:44,2025-03-03T06:37,,cash,pending,confirmed,True,active,True,False,
TXN500032,img/lots/100757.jpg,LOT100757,COL2350,REC1046,Mixed plastic,PLA-HIPS,145.8,143.7,4007.31,3904.99,3770.39,Aurangabad,19.874841,75.320076,19.892702,75.483491,17.2,2025-03-02T22:01,2025-03-04T07:48,2025-03-04T14:40,2025-03-04T17:26,cash,paid,settled,False,active,True,False,
TXN500033,img/lots/111380.jpg,LOT111380,COL2139,REC1010,Motor & magnet-bearing,MTR-SML,41.5,41.3,4181.99,4027.38,3210.44,Mumbai,19.092469,72.930816,19.169603,73.191316,28.68,2025-03-02T14:41,,,,cash,not_due,matched,False,expired,False,False,
TXN500034,img/lots/104749.jpg,LOT104749,COL2278,REC1066,Mixed plastic,PLA-MIX,33.7,32.5,456.21,425.37,413.5,Nagpur,21.131303,79.064095,21.249439,78.918489,20.01,2025-03-02T11:48,,,,cash,not_due,quoted,False,active,True,False,
TXN500035,img/lots/114247.jpg,LOT114247,COL2056,REC1005,Battery,BAT-BTN,9.4,9.3,413.75,408.95,331.35,Pune,18.525748,73.898261,18.508503,73.926714,3.56,2025-03-02T09:27,2025-03-05T19:50,,,cash,pending,handed_over,False,expiring_soon,True,False,
TXN500036,img/lots/102774.jpg,LOT102774,COL2350,REC1035,PCB,PCB-GPU,1.7,1.7,1636.2,1624.94,1237.26,Aurangabad,19.860076,75.368981,19.876948,75.429841,6.64,2025-03-03T08:51,2025-03-07T02:26,2025-03-07T18:38,2025-03-08T11:50,cash,paid,settled,True,suspended,False,False,
TXN500037,img/lots/113181.jpg,LOT113181,COL2350,REC1059,CRT,CRT-YOK,68.0,69.3,3901.19,3904.12,3084.48,Aurangabad,19.854319,75.318434,19.884991,75.415283,10.69,2025-03-02T21:01,2025-03-05T09:45,2025-03-05T16:03,2025-03-06T12:04,cash,paid,settled,False,active,True,False,
TXN500038,img/lots/116290.jpg,LOT116290,COL2132,REC1051,PCB,PCB-MBH,8.9,8.9,6727.25,6588.25,5148.03,Nashik,20.022673,73.78402,19.987342,73.74065,6.0,2025-03-03T09:03,2025-03-07T08:32,2025-03-07T13:18,2025-03-10T09:50,cash,paid,settled,True,active,True,False,
TXN500039,img/lots/107720.jpg,LOT107720,COL2218,REC1015,Mixed plastic,PLA-ABS,19.0,17.4,772.01,686.53,682.86,Pune,18.572039,73.777553,18.490549,73.938886,19.27,2025-03-02T18:58,2025-03-06T10:52,,,cash,pending,handed_over,False,active,True,False,
TXN500040,img/lots/100475.jpg,LOT100475,COL2350,REC1059,PCB,PCB-MIX,17.9,19.0,7377.01,7853.04,5210.87,Aurangabad,19.860512,75.344999,19.884991,75.415283,7.84,2025-03-03T02:42,2025-03-03T08:42,2025-03-03T15:28,2025-03-05T03:07,upi,paid,settled,False,active,True,False,
TXN500041,img/lots/100244.jpg,LOT100244,COL2397,REC1001,Cable,CBL-AL,32.0,30.6,3408.63,3306.73,3084.16,Nagpur,21.120966,79.128415,20.023106,73.771602,570.84,2025-03-02T19:27,2025-03-06T00:41,2025-03-06T09:30,2025-03-09T03:06,cash,paid,settled,True,active,True,True,impossible_geography
TXN500042,img/lots/105311.jpg,LOT105311,COL2099,REC1047,PCB,PCB-RAM,1.2,1.2,2851.14,2843.1,2357.44,Pimpri-Chinchwad,18.611495,73.886584,18.665448,73.756097,15.0,2025-03-03T05:45,2025-03-04T21:51,2025-03-05T14:45,2025-03-05T15:07,cash,paid,settled,False,active,True,False,
TXN500043,img/lots/113436.jpg,LOT113436,COL2350,REC1046,Cable,CBL-MIX,73.3,70.0,5561.01,5396.31,5285.66,Aurangabad,19.880117,75.271674,19.892702,75.483491,22.19,2025-03-03T16:39,2025-03-07T01:34,2025-03-07T07:17,2025-03-07T07:35,cash,paid,settled,False,active,True,False,
TXN500044,img/lots/104350.jpg,LOT104350,COL2139,REC1016,Motor & magnet-bearing,MTR-SML,5.0,5.0,418.08,424.84,358.45,Mumbai,19.073029,72.90865,19.09417,72.984504,8.31,2025-03-02T22:29,,,,cash,not_due,quoted,False,active,True,False,
TXN500045,img/lots/101176.jpg,LOT101176,COL2111,REC1032,Mixed plastic,PLA-ABS,59.7,62.0,2417.88,2471.27,2111.59,Pimpri-Chinchwad,18.643637,73.756042,18.620266,73.821743,7.39,2025-03-03T14:08,2025-03-07T09:59,2025-03-07T14:20,2025-03-11T05:09,upi,paid,settled,True,active,True,False,
TXN500046,img/lots/108411.jpg,LOT108411,COL2139,REC1068,PCB,PCB-RAM,45.0,47.5,115458.78,122485.93,96165.9,Mumbai,19.07037,72.86182,20.003277,73.812481,143.82,2025-03-03T10:26,2025-03-05T04:21,2025-03-05T05:19,2025-03-06T19:28,cash,paid,settled,True,expired,False,True,impossible_geography
TXN500047,img/lots/112451.jpg,LOT112451,COL2168,REC1050,CRT,CRT-YOK,16.3,16.5,864.33,867.54,737.9,Pimpri-Chinchwad,18.647967,73.711556,18.60717,73.817319,12.03,2025-03-03T17:04,2025-03-06T05:35,2025-03-06T14:55,2025-03-06T21:11,cash,paid,settled,False,active,True,False,
TXN500048,img/lots/108944.jpg,LOT108944,COL2258,REC1073,Mixed plastic,PLA-MIX,30.5,28.1,463.32,420.06,420.29,Mumbai,19.068027,72.87447,19.067752,73.07251,20.81,2025-03-02T21:11,2025-03-04T10:40,2025-03-04T18:19,2025-03-06T00:12,cash,paid,settled,False,active,True,False,
TXN500049,img/lots/119714.jpg,LOT119714,COL2395,REC1015,PCB,PCB-RAM,45.0,44.3,111311.14,108168.94,87662.7,Pune,18.518279,73.857069,18.490549,73.938886,9.16,2025-03-03T14:09,2025-03-07T05:48,2025-03-07T23:25,2025-03-08T15:37,cash,paid,settled,True,active,True,False,
TXN500050,img/lots/113728.jpg,LOT113728,COL2291,REC1032,Cable,CBL-AL,7.9,7.8,865.71,857.3,794.82,Pimpri-Chinchwad,18.646339,73.770232,18.620266,73.821743,6.15,2025-03-03T04:23,2025-03-05T03:03,2025-03-05T16:57,,cash,pending,confirmed,False,active,True,False,
TXN500051,img/lots/107405.jpg,LOT107405,COL2139,REC1012,Cable,CBL-CU,13.2,14.0,4052.63,4379.6,3788.4,Mumbai,19.075792,72.878616,19.051579,72.877861,2.69,2025-03-03T05:04,2025-03-04T01:43,2025-03-04T10:08,,cash,paid,confirmed,True,active,True,False,
TXN500052,img/lots/103438.jpg,LOT103438,COL2304,REC1041,LCD/LED panel,LCD-LAP,4.9,4.8,225.31,215.55,178.16,Nagpur,21.178029,79.110815,21.09921,78.948538,18.98,2025-03-02T21:54,2025-03-05T14:25,2025-03-05T22:13,2025-03-05T22:50,cash,paid,settled,True,suspended,False,False,
TXN500053,img/lots/119442.jpg,LOT119442,COL2132,REC1061,Mixed plastic,PLA-HIPS,61.9,61.6,1954.11,1898.82,1708.44,Nashik,20.060233,73.760416,19.976167,73.716182,10.43,2025-03-03T18:59,2025-03-06T04:50,2025-03-06T10:19,2025-03-06T22:36,cash,paid,settled,True,expiring_soon,True,False,
TXN500054,img/lots/102118.jpg,LOT102118,COL2308,REC1051,PCB,PCB-GPU,3.2,3.2,3041.86,3063.29,2346.69,Nashik,19.966144,73.75317,19.987342,73.74065,2.7,2025-03-03T20:14,2025-03-04T11:45,2025-03-04T19:05,2025-03-07T14:10,cash,paid,settled,True,active,True,False,
TXN500055,img/lots/114372.jpg,LOT114372,COL2139,REC1063,Cable,CBL-ARM,37.1,39.5,5727.82,6074.35,5200.31,Mumbai,19.145893,72.879058,19.130163,73.018162,14.72,2025-03-04T13:39,2025-03-06T17:01,2025-03-06T18:23,2025-03-10T00:39,upi,paid,settled,True,expiring_soon,True,False,
TXN500056,img/lots/118317.jpg,LOT118317,COL2237,REC1019,Motor & magnet-bearing,MTR-HDD,21.6,21.7,4699.63,4699.71,3350.16,Mumbai,19.085028,72.873338,19.197379,73.19812,36.33,2025-03-03T20:15,2025-03-06T01:39,2025-03-06T16:35,2025-03-07T01:22,cash,paid,settled,False,active,True,False,
TXN500057,img/lots/113116.jpg,LOT113116,COL2399,REC1028,Mixed plastic,PLA-MIX,44.9,43.6,725.31,737.75,606.15,Mumbai,19.077215,72.77345,19.117684,73.009673,25.23,2025-03-04T05:18,2025-03-05T13:04,2025-03-05T19:42,2025-03-06T05:04,upi,paid,settled,True,active,True,False,
TXN500058,img/lots/115897.jpg,LOT115897,COL2139,REC1037,Mixed plastic,PLA-ABS,65.6,64.9,2783.8,2712.25,2412.11,Mumbai,19.099003,72.823755,19.053222,73.10613,30.11,2025-03-04T13:22,2025-03-07T06:44,2025-03-07T16:36,,cash,pending,confirmed,False,active,True,False,
TXN500059,img/lots/106969.jpg,LOT106969,COL2011,REC1001,Motor & magnet-bearing,MTR-CMP,11.1,10.7,790.85,760.46,643.69,Nagpur,21.202067,79.166807,21.234281,78.936805,24.11,2025-03-03T23:46,2025-03-06T22:06,,,cash,pending,handed_over,True,active,True,False,
TXN500060,img/lots/118159.jpg,LOT118159,COL2139,REC1012,Mixed plastic,PLA-HIPS,29.4,30.2,958.49,978.01,852.01,Mumbai,18.988283,72.913137,19.051579,72.877861,7.96,2025-03-03T12:57,2025-03-06T12:57,2025-03-06T13:42,2025-03-07T00:21,cash,paid,settled,False,active,True,False,
TXN500061,img/lots/115462.jpg,LOT115462,COL2139,REC1012,Battery,BAT-LI,14.3,14.0,1958.44,1934.34,1488.77,Mumbai,19.023326,72.876736,19.051579,72.877861,3.14,2025-03-04T17:23,2025-03-07T22:52,2025-03-08T16:23,2025-03-09T00:03,cash,paid,settled,True,active,True,False,
TXN500062,img/lots/100858.jpg,LOT100858,COL2291,REC1032,Cable,CBL-MIX,10.3,10.3,903.11,876.27,804.64,Pimpri-Chinchwad,18.651834,73.811559,18.620266,73.821743,3.67,2025-03-04T18:47,2025-03-08T06:24,2025-03-09T00:15,2025-03-12T12:58,cash,paid,settled,True,active,True,False,
TXN500063,img/lots/117848.jpg,LOT117848,COL2164,REC1016,Battery,BAT-LI,15.7,14.4,2050.61,1856.26,1634.53,Mumbai,19.117474,72.926115,19.09417,72.984504,6.66,2025-03-03T16:21,2025-03-04T11:59,,,cash,pending,handed_over,False,active,True,False,
TXN500064,img/lots/105123.jpg,LOT105123,COL2038,REC1014,PCB,PCB-RAM,36.8,39.6,88672.29,97360.13,67537.2,Nagpur,21.15138,79.105336,21.127708,78.961071,15.19,2025-03-04T11:22,2025-03-05T03:51,2025-03-05T14:38,2025-03-05T18:49,upi,paid,settled,False,expiring_soon,True,False,
TXN500065,img/lots/114233.jpg,LOT114233,COL2292,REC1002,LCD/LED panel,LCD-MON,7.4,7.1,289.21,281.4,232.14,Nagpur,21.176561,79.105892,21.234049,78.898754,22.4,2025-03-03T23:59,2025-03-07T12:16,2025-03-08T03:11,2025-03-08T08:41,cash,paid,settled,False,active,True,False,
TXN500066,img/lots/116958.jpg,LOT116958,COL2139,REC1012,Cable,CBL-ARM,4.9,5.0,749.85,0.0,686.83,Mumbai,19.081196,72.908395,19.051579,72.877861,4.6,2025-03-04T14:44,,,,upi,not_due,cancelled,False,active,True,False,
TXN500067,img/lots/103452.jpg,LOT103452,COL2373,REC1030,Cable,CBL-ARM,21.4,22.1,2946.65,3074.42,2806.82,Pimpri-Chinchwad,18.582051,73.784852,18.683961,73.76457,11.53,2025-03-03T19:36,2025-03-03T23:48,2025-03-04T16:08,,cash,partial,confirmed,False,active,True,False,
TXN500068,img/lots/107503.jpg,LOT107503,COL2037,REC1013,Cable,CBL-AL,11.7,11.4,1304.48,1260.23,1204.63,Nagpur,21.160251,79.143991,21.224069,78.915987,24.68,2025-03-04T10:28,2025-03-07T03:39,2025-03-07T08:43,2025-03-07T11:47,cash,paid,settled,False,active,True,False,
TXN500069,img/lots/107191.jpg,LOT107191,COL2039,REC1019,PCB,PCB-RAM,2.3,2.2,6332.02,0.0,4519.73,Mumbai,19.088325,72.860543,19.197379,73.19812,37.48,2025-03-04T18:21,,,,cash,not_due,cancelled,False,active,True,False,
TXN500070,img/lots/105196.jpg,LOT105196,COL2219,REC1067,Mixed plastic,PLA-HIPS,67.5,68.3,2047.11,2015.47,1907.55,Pimpri-Chinchwad,18.666878,73.875306,18.609549,73.84435,7.16,2025-03-04T17:13,,,,cash,not_due,matched,False,active,True,False,
TXN500071,img/lots/103269.jpg,LOT103269,COL2129,REC1024,Mixed plastic,PLA-PCABS,40.2,40.9,1857.16,1913.48,1566.59,Pune,18.535159,73.849717,18.525282,73.926857,8.21,2025-03-04T02:02,2025-03-07T03:49,2025-03-07T14:01,,cash,partial,confirmed,False,expiring_soon,True,False,
TXN500072,img/lots/104127.jpg,LOT104127,COL2194,REC1033,CRT,CRT-MON,60.1,59.4,817.74,793.84,604.01,Nagpur,21.149932,79.011529,21.260233,78.923009,15.32,2025-03-04T00:41,2025-03-07T14:59,2025-03-08T06:34,2025-03-08T15:59,cash,paid,settled,False,active,True,False,
TXN500073,img/lots/101629.jpg,LOT101629,COL2376,REC1015,Motor & magnet-bearing,MTR-SML,24.5,24.0,2207.75,2135.64,1813.74,Pune,18.460391,73.913594,18.490549,73.938886,4.28,2025-03-04T00:40,2025-03-06T11:50,2025-03-06T18:29,2025-03-08T01:10,cash,paid,settled,False,active,True,False,
TXN500074,img/lots/111792.jpg,LOT111792,COL2139,REC1016,Battery,BAT-NIMH,30.0,28.2,2306.07,2177.54,1989.6,Mumbai,19.129828,72.918019,19.09417,72.984504,8.03,2025-03-04T15:24,2025-03-08T14:08,2025-03-08T19:33,2025-03-08T22:20,upi,paid,settled,False,active,True,False,
TXN500075,img/lots/113507.jpg,LOT113507,COL2229,REC1033,Cable,CBL-CU,37.3,36.1,10751.94,10260.08,9903.9,Nagpur,21.130631,79.099646,21.260233,78.923009,23.3,2025-03-03T23:04,2025-03-04T18:33,2025-03-05T01:02,2025-03-05T07:23,cash,paid,settled,False,active,True,False,
TXN500076,img/lots/115781.jpg,LOT115781,COL2393,REC1047,PCB,PCB-GPU,16.3,16.5,14641.13,14884.19,11999.57,Pimpri-Chinchwad,18.628228,73.852816,18.665448,73.756097,11.0,2025-03-04T23:35,2025-03-06T04:13,,,cash,pending,handed_over,False,active,True,False,
TXN500077,img/lots/104976.jpg,LOT104976,COL2341,REC1000,Battery,BAT-LI,6.3,6.3,768.34,751.02,617.4,Pune,18.52492,73.855752,18.491869,73.946043,10.21,2025-03-04T11:06,2025-03-06T07:35,2025-03-07T02:08,2025-03-07T11:02,cash,paid,settled,True,expiring_soon,True,False,
TXN500078,img/lots/111837.jpg,LOT111837,COL2132,REC1042,Mixed plastic,PLA-HIPS,23.2,24.6,719.22,763.2,648.21,Nashik,19.964355,73.745705,20.007228,73.704275,6.44,2025-03-05T08:05,2025-03-05T13:16,2025-03-06T01:44,2025-03-08T22:13,upi,paid,settled,False,active,True,False,
TXN500079,img/lots/110158.jpg,LOT110158,COL2112,REC1061,Mixed plastic,PLA-MIX,16.1,16.9,242.58,254.53,214.13,Nashik,19.99915,73.79251,19.976167,73.716182,8.38,2025-03-04T11:04,2025-03-06T02:28,2025-03-06T21:15,,upi,partial,confirmed,False,expiring_soon,True,False,
TXN500080,img/lots/105915.jpg,LOT105915,COL2062,REC1034,Mixed plastic,PLA-MIX,3.1,3.0,43.98,43.34,41.91,Mumbai,19.106952,72.927146,19.061762,73.088075,17.64,2025-03-04T12:54,,,,cash,not_due,matched,True,active,True,False,
TXN500081,img/lots/111556.jpg,LOT111556,COL2139,REC1052,Cable,CBL-MIX,74.9,75.0,6031.59,6206.72,5854.93,Mumbai,19.086008,72.873229,19.05694,72.918592,5.76,2025-03-05T12:30,2025-03-08T18:28,2025-03-08T18:55,2025-03-09T02:59,upi,paid,settled,False,active,True,False,
TXN500082,img/lots/118407.jpg,LOT118407,COL2389,REC1024,Cable,CBL-MIX,46.8,44.4,4192.56,3935.6,3643.38,Pune,18.506123,73.869767,18.525282,73.926857,6.39,2025-03-04T18:31,2025-03-08T02:16,2025-03-08T16:52,2025-03-08T19:50,cash,paid,settled,False,expiring_soon,True,False,
TXN500083,img/lots/101106.jpg,LOT101106,COL2139,REC1068,Battery,BAT-LI,14.8,14.8,1894.1,4538.33,1530.02,Mumbai,19.089184,72.795245,19.065364,72.880145,9.31,2025-03-04T16:48,2025-03-07T04:41,2025-03-07T20:34,,cash,pending,confirmed,True,expired,False,True,price_out_of_band
TXN500084,img/lots/106712.jpg,LOT106712,COL2139,REC1025,Cable,CBL-AL,160.0,159.9,18154.35,18719.64,17670.4,Mumbai,19.032762,72.845029,19.118039,73.013026,20.04,2025-03-04T08:56,2025-03-05T16:58,2025-03-06T05:29,2025-03-06T16:13,cash,paid,settled,False,active,True,False,
