lot_id,collector_id,created_at,material_category,sub_category,material_code,item_count,description_voice_transcript,transcript_language,input_method,image_ref,weight_kg,weight_source,condition,source_type,collection_city,collection_area,collection_lat,collection_lng,estimated_value_informal,estimated_value_formal,predicted_category,prediction_confidence,prediction_accepted_by_user,created_offline
LOT113602,COL2207,2025-03-01T10:21,Cable,Armoured / data cable,CBL-ARM,4,21 kilo wire mila hai,hi,voice,img/lots/113602.jpg,21.3,spring_balance,intact,household_pickup,Pune,Dhankawadi,18.52685,73.848365,2871.45,3088.29,Cable,0.837,True,True
LOT110061,COL2129,2025-03-01T10:33,Cable,Copper household wire,CBL-CU,4,11 kilo wire mila hai,mr,assisted,img/lots/110061.jpg,10.9,spring_balance,partially_dismantled,household_pickup,Pune,Yerawada,18.524999,73.887299,3068.46,3234.03,Cable,0.924,True,False
LOT104819,COL2359,2025-03-01T10:34,PCB,Mixed populated board,PCB-MIX,3,computer ka board 6 kilo,mr,icon_keypad,img/lots/104819.jpg,5.5,spring_balance,partially_dismantled,household_pickup,Mumbai,Vikhroli,19.039651,72.884131,1768.3,2280.24,PCB,0.759,True,False
LOT100997,COL2350,2025-03-01T10:59,PCB,Motherboard (high grade),PCB-MBH,2,10 kilo circuit board,mr,voice,img/lots/100997.jpg,10.5,spring_balance,intact,household_pickup,Aurangabad,Chikalthana,19.869533,75.326163,5891.76,7534.27,PCB,0.87,True,True
LOT101516,COL2361,2025-03-01T11:36,PCB,TV / appliance board (low grade),PCB-LOW,1,3 kilo green plate,mr,icon_keypad,img/lots/101516.jpg,2.8,platform_scale,broken,apartment_drive,Mumbai,Bhandup,19.061713,72.934189,389.87,506.91,PCB,0.759,True,True
LOT109794,COL2089,2025-03-01T11:41,LCD/LED panel,Laptop panel,LCD-LAP,3,TV panel 9 kilo,mr,voice,img/lots/109794.jpg,9.3,platform_scale,partially_dismantled,household_pickup,Nagpur,Wadi,21.1741,79.062599,336.19,412.46,LCD/LED panel,0.849,True,False
LOT116787,COL2139,2025-03-01T12:07,Cable,Aluminium cable,CBL-AL,4,17 kilo tambe waayar,mr,voice,img/lots/116787.jpg,16.7,estimated,intact,office_clearance,Mumbai,Bhandup,19.008895,72.940752,1834.49,1953.23,Cable,0.842,True,False
LOT119055,COL2350,2025-03-01T12:14,LCD/LED panel,Backlight assembly,LCD-BLA,4,32 kilo panel,mr,icon_keypad,img/lots/119055.jpg,31.7,spring_balance,intact,household_pickup,Aurangabad,Shendra,19.951336,75.279075,1288.29,1525.09,LCD/LED panel,0.811,True,False
LOT118345,COL2380,2025-03-01T12:25,Battery,Li-ion laptop / phone pack,BAT-LI,4,7 kilo cell,hi,icon_keypad,img/lots/118345.jpg,6.8,spring_balance,burnt,small_shop,Pimpri-Chinchwad,Talawade,18.616935,73.713265,651.03,842.86,Battery,0.849,True,True
LOT112678,COL2139,2025-03-01T12:36,CRT,Colour TV tube,CRT-CTV,1,13 kilo TV ka glass,mr,voice,img/lots/112678.jpg,13.1,estimated,intact,household_pickup,Mumbai,Govandi,19.084572,72.900212,199.64,266.72,CRT,0.901,True,False
LOT115628,COL2350,2025-03-01T13:01,PCB,RAM / gold-finger,PCB-RAM,3,computer ka board 6 kilo,mr,voice,img/lots/115628.jpg,6.3,estimated,intact,household_pickup,Aurangabad,Garkheda,19.884004,75.374126,12080.69,15189.43,PCB,0.882,True,False
LOT110798,COL2267,2025-03-01T13:07,CRT,Monochrome monitor tube,CRT-MON,1,juna TV monitor 12 kilo,mr,voice,img/lots/110798.jpg,12.0,spring_balance,intact,small_shop,Nashik,Satpur,19.9884,73.716335,119.76,157.44,CRT,0.859,True,True
LOT102578,COL2139,2025-03-01T13:24,Motor & magnet-bearing,Speaker magnet,MTR-SPK,2,speaker 57 kilo,mr,icon_keypad,img/lots/102578.jpg,56.9,spring_balance,intact,household_pickup,Mumbai,Bhandup,19.082676,72.827324,5735.52,7158.59,CRT,0.662,True,True
LOT119369,COL2253,2025-03-01T13:45,Battery,Button / coin cell,BAT-BTN,2,6 kilo battery,mr,voice,img/lots/119369.jpg,5.7,platform_scale,broken,apartment_drive,Pimpri-Chinchwad,Chinchwad,18.644601,73.796551,194.2,240.83,Battery,0.91,True,False
LOT102367,COL2042,2025-03-01T13:54,CRT,Monochrome monitor tube,CRT-MON,2,61 kilo TV ka glass,hi,voice,img/lots/102367.jpg,61.1,spring_balance,intact,office_clearance,Nagpur,Manish Nagar,21.206899,79.082422,619.55,814.46,CRT,0.787,True,False
LOT103981,COL2267,2025-03-01T13:55,Battery,Li-ion laptop / phone pack,BAT-LI,4,gaadi ki battery 7 kilo,mr,icon_keypad,img/lots/103981.jpg,7.1,estimated,partially_dismantled,household_pickup,Nashik,Nashik Road,20.009333,73.793795,628.14,813.23,Battery,0.98,True,False
LOT115265,COL2218,2025-03-01T13:59,Cable,Armoured / data cable,CBL-ARM,4,21 kilo wire mila hai,hi,voice,img/lots/115265.jpg,20.9,estimated,partially_dismantled,small_shop,Pune,Kothrud,18.55097,73.856172,2817.53,3030.29,Cable,0.972,True,True
LOT103163,COL2056,2025-03-01T14:38,Motor & magnet-bearing,Compressor motor,MTR-CMP,1,3 kilo motor,mr,icon_keypad,img/lots/103163.jpg,2.6,estimated,partially_dismantled,household_pickup,Pune,Yerawada,18.492968,73.880596,159.87,189.2,Motor & magnet-bearing,0.88,True,True
LOT103501,COL2239,2025-03-01T15:19,Mixed plastic,ABS casing,PLA-ABS,5,TV ka cover 44 kilo,mr,icon_keypad,img/lots/103501.jpg,43.6,platform_scale,partially_dismantled,office_clearance,Nagpur,Hingna,21.167621,79.093261,1436.62,1607.97,Battery,0.634,True,False
LOT114188,COL2139,2025-03-01T15:28,Motor & magnet-bearing,Compressor motor,MTR-CMP,3,chumbak wali motor 13 kilo,mr,voice,img/lots/114188.jpg,12.9,spring_balance,intact,household_pickup,Mumbai,Andheri East,19.098741,72.821095,769.61,910.74,Battery,0.525,False,False
LOT116698,COL2350,2025-03-01T15:45,Cable,Armoured / data cable,CBL-ARM,4,waayar 15 kilo,mr,voice,img/lots/116698.jpg,15.4,platform_scale,partially_dismantled,small_shop,Aurangabad,Waluj,19.914283,75.368826,1846.77,1986.29,Cable,0.936,True,True
LOT114707,COL2139,2025-03-01T17:12,LCD/LED panel,Backlight assembly,LCD-BLA,3,laptop screen 8 kilo,mr,voice,img/lots/114707.jpg,7.5,platform_scale,intact,office_clearance,Mumbai,Mankhurd,19.05211,72.82092,350.17,414.53,Battery,0.617,False,False
LOT112046,COL2007,2025-03-01T17:15,PCB,Mixed populated board,PCB-MIX,8,motherboard 12 kilo,mr,icon_keypad,img/lots/112046.jpg,11.7,platform_scale,intact,small_shop,Nashik,Ambad,19.977987,73.807947,3808.7,4911.31,PCB,0.976,True,False
LOT103466,COL2394,2025-03-01T17:28,LCD/LED panel,Monitor panel,LCD-MON,2,TV panel 27 kilo,mr,icon_keypad,img/lots/103466.jpg,27.0,platform_scale,broken,small_shop,Aurangabad,Garkheda,19.786214,75.354115,818.1,994.95,CRT,0.758,False,False
LOT117128,COL2265,2025-03-01T17:35,Cable,Armoured / data cable,CBL-ARM,3,waayar 42 kilo,mr,voice,img/lots/117128.jpg,42.3,platform_scale,intact,small_shop,Pune,Katraj,18.517887,73.921775,5702.46,6133.08,Cable,0.907,True,True
LOT111162,COL2168,2025-03-01T18:07,Battery,Ni-MH,BAT-NIMH,5,8 kilo cell,mr,voice,img/lots/111162.jpg,7.7,estimated,burnt,household_pickup,Pimpri-Chinchwad,Talawade,18.645355,73.897879,469.32,561.48,Battery,0.786,True,False
LOT117163,COL2210,2025-03-01T18:19,LCD/LED panel,Backlight assembly,LCD-BLA,4,11 kilo panel,mr,voice,img/lots/117163.jpg,10.8,platform_scale,broken,office_clearance,Nashik,Ambad,19.924954,73.801346,453.38,536.65,LCD/LED panel,0.98,True,True
LOT117184,COL2258,2025-03-01T18:31,LCD/LED panel,Backlight assembly,LCD-BLA,2,10 kilo LCD screen,mr,voice,img/lots/117184.jpg,10.2,platform_scale,intact,apartment_drive,Mumbai,Bhandup,18.988507,72.86144,476.24,563.75,Mixed plastic,0.439,False,False
LOT100757,COL2350,2025-03-01T19:20,Mixed plastic,HIPS,PLA-HIPS,5,146 kilo bhanga plastic,mr,voice,img/lots/100757.jpg,145.8,platform_scale,broken,household_pickup,Aurangabad,Waluj,19.874841,75.320076,3770.39,4178.63,Mixed plastic,0.778,True,False
LOT111380,COL2139,2025-03-01T19:35,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,4,chumbak wali motor 42 kilo,mr,voice,img/lots/111380.jpg,41.5,spring_balance,burnt,household_pickup,Mumbai,Vikhroli,19.092469,72.930816,3210.44,3868.63,Motor & magnet-bearing,0.875,True,False
LOT109862,COL2005,2025-03-01T19:55,CRT,Deflection yoke,CRT-YOK,2,"do CRT TV, purana",mr,voice,img/lots/109862.jpg,25.6,spring_balance,waterlogged,household_pickup,Pune,Kothrud,18.463542,73.926994,1246.46,1435.65,CRT,0.842,True,False
LOT114247,COL2056,2025-03-01T19:57,Battery,Button / coin cell,BAT-BTN,4,gaadi ki battery 9 kilo,mr,voice,img/lots/114247.jpg,9.4,platform_scale,waterlogged,office_clearance,Pune,Vishrantwadi,18.525748,73.898261,331.35,410.87,Battery,0.942,True,True
LOT104749,COL2278,2025-03-01T19:57,Mixed plastic,Mixed dirty,PLA-MIX,4,34 kilo plastic,hi,voice,img/lots/104749.jpg,33.7,spring_balance,partially_dismantled,apartment_drive,Nagpur,Wadi,21.131303,79.064095,413.5,453.94,Mixed plastic,0.966,True,True
LOT106251,COL2217,2025-03-02T07:03,PCB,RAM / gold-finger,PCB-RAM,6,10 kilo green plate,mr,voice,img/lots/106251.jpg,9.7,platform_scale,burnt,household_pickup,Aurangabad,Shendra,19.810644,75.336461,18196.33,22876.38,Motor & magnet-bearing,0.614,True,False
LOT115236,COL2040,2025-03-02T07:26,Cable,Copper household wire,CBL-CU,5,"43 kilo copper cable, purana",hi,icon_keypad,img/lots/115236.jpg,42.7,spring_balance,broken,apartment_drive,Nashik,Cidco,20.00314,73.767832,11679.3,12309.13,Cable,0.988,True,False
LOT102774,COL2350,2025-03-02T07:59,PCB,GPU / add-on card,PCB-GPU,4,computer ka board 2 kilo,mr,icon_keypad,img/lots/102774.jpg,1.7,spring_balance,broken,apartment_drive,Aurangabad,Cidco N-7,19.860076,75.368981,1237.26,1568.74,PCB,0.87,True,False
LOT113181,COL2350,2025-03-02T08:33,CRT,Deflection yoke,CRT-YOK,3,juna TV monitor 68 kilo,mr,voice,img/lots/113181.jpg,68.0,estimated,intact,office_clearance,Aurangabad,Garkheda,19.854319,75.318434,3084.48,3553.0,CRT,0.836,True,False
LOT118333,COL2386,2025-03-02T09:20,Mixed plastic,ABS casing,PLA-ABS,2,computer cabinet plastic 55 kilo,mr,voice,img/lots/118333.jpg,55.3,estimated,broken,apartment_drive,Mumbai,Andheri East,19.005519,72.860662,1986.38,2223.61,Mixed plastic,0.919,True,False
LOT116290,COL2132,2025-03-02T09:54,PCB,Motherboard (high grade),PCB-MBH,5,9 kilo circuit board,mr,voice,img/lots/116290.jpg,8.9,estimated,intact,household_pickup,Nashik,Panchavati,20.022673,73.78402,5148.03,6582.44,PCB,0.939,True,False
LOT107720,COL2218,2025-03-02T10:48,Mixed plastic,ABS casing,PLA-ABS,3,computer cabinet plastic 19 kilo,hi,voice,img/lots/107720.jpg,19.0,platform_scale,intact,small_shop,Pune,Bhosari,18.572039,73.777553,682.86,764.37,Mixed plastic,0.897,True,False
LOT100475,COL2350,2025-03-02T11:09,PCB,Mixed populated board,PCB-MIX,5,18 kilo circuit board,mr,voice,img/lots/100475.jpg,17.9,spring_balance,waterlogged,household_pickup,Aurangabad,Cidco N-7,19.860512,75.344999,5210.87,6718.59,PCB,0.823,True,True
LOT114343,COL2272,2025-03-02T11:19,CRT,Colour TV tube,CRT-CTV,1,18 kilo purana TV tube,mr,voice,img/lots/114343.jpg,18.1,estimated,intact,other_collector,Aurangabad,Garkheda,19.838823,75.287761,246.7,329.6,CRT,0.94,True,False
LOT100244,COL2397,2025-03-02T11:26,Cable,Aluminium cable,CBL-AL,5,32 kilo tambe waayar,hi,voice,img/lots/100244.jpg,32.0,spring_balance,broken,apartment_drive,Nagpur,Wadi,21.120966,79.128415,3084.16,3283.84,Cable,0.78,True,True
LOT105311,COL2099,2025-03-02T12:22,PCB,RAM / gold-finger,PCB-RAM,3,computer ka board 1 kilo,mr,voice,img/lots/105311.jpg,1.2,spring_balance,intact,household_pickup,Pimpri-Chinchwad,Akurdi,18.611495,73.886584,2357.44,2963.76,PCB,0.872,True,False
LOT113436,COL2350,2025-03-02T13:44,Cable,Mixed insulated,CBL-MIX,5,"73 kilo copper cable, purana",mr,voice,img/lots/113436.jpg,73.3,spring_balance,partially_dismantled,other_collector,Aurangabad,Cidco N-7,19.880117,75.271674,5285.66,5798.76,Cable,0.9,True,False
LOT115941,COL2266,2025-03-02T14:28,Cable,Armoured / data cable,CBL-ARM,3,42 kilo wire mila hai,mr,icon_keypad,img/lots/115941.jpg,41.6,platform_scale,partially_dismantled,apartment_drive,Mumbai,Andheri East,19.109748,72.883609,5637.22,6062.78,Cable,0.912,True,False
LOT104350,COL2139,2025-03-02T14:44,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,3,5 kilo motor,mr,voice,img/lots/104350.jpg,5.0,estimated,intact,office_clearance,Mumbai,Govandi,19.073029,72.90865,358.45,431.9,Motor & magnet-bearing,0.902,True,True
LOT114478,COL2252,2025-03-02T14:51,Cable,Copper household wire,CBL-CU,6,"90 kilo copper cable, purana",hi,icon_keypad,img/lots/114478.jpg,90.3,spring_balance,waterlogged,household_pickup,Mumbai,Vikhroli,19.128511,72.832949,25916.1,27313.94,Cable,0.892,True,True
LOT101176,COL2111,2025-03-02T14:56,Mixed plastic,ABS casing,PLA-ABS,5,TV ka cover 60 kilo,hi,icon_keypad,img/lots/101176.jpg,59.7,spring_balance,intact,office_clearance,Pimpri-Chinchwad,Chinchwad,18.643637,73.756042,2111.59,2363.52,Mixed plastic,0.901,True,False
LOT108411,COL2139,2025-03-02T15:24,PCB,RAM / gold-finger,PCB-RAM,5,computer ka board 45 kilo,mr,icon_keypad,img/lots/108411.jpg,45.0,platform_scale,intact,small_shop,Mumbai,Bhandup,19.07037,72.86182,96165.9,120899.25,PCB,0.842,True,False
LOT112451,COL2168,2025-03-02T16:45,CRT,Deflection yoke,CRT-YOK,1,juna TV monitor 16 kilo,mr,icon_keypad,img/lots/112451.jpg,16.3,platform_scale,burnt,small_shop,Pimpri-Chinchwad,Pimpri,18.647967,73.711556,737.9,849.88,CRT,0.89,True,False
LOT108944,COL2258,2025-03-02T17:09,Mixed plastic,Mixed dirty,PLA-MIX,4,30 kilo plastic,mr,icon_keypad,img/lots/108944.jpg,30.5,platform_scale,broken,household_pickup,Mumbai,Kurla,19.068027,72.87447,420.29,461.47,Mixed plastic,0.99,True,True
LOT116774,COL2125,2025-03-02T17:47,PCB,Motherboard (high grade),PCB-MBH,6,7 kilo circuit board,mr,voice,img/lots/116774.jpg,7.2,spring_balance,partially_dismantled,household_pickup,Nagpur,Butibori,21.180126,79.136002,4220.35,5396.26,PCB,0.881,True,False
LOT119714,COL2395,2025-03-02T17:54,PCB,RAM / gold-finger,PCB-RAM,4,45 kilo green plate,mr,voice,img/lots/119714.jpg,45.0,spring_balance,intact,small_shop,Pune,Kothrud,18.518279,73.857069,87662.7,110209.05,PCB,0.822,True,True
LOT113728,COL2291,2025-03-02T17:54,Cable,Aluminium cable,CBL-AL,1,8 kilo wire mila hai,hi,icon_keypad,img/lots/113728.jpg,7.9,platform_scale,burnt,apartment_drive,Pimpri-Chinchwad,Akurdi,18.646339,73.770232,794.82,846.25,Cable,0.916,True,True
LOT107405,COL2139,2025-03-02T18:09,Cable,Copper household wire,CBL-CU,4,waayar 13 kilo,mr,icon_keypad,img/lots/107405.jpg,13.2,estimated,partially_dismantled,apartment_drive,Mumbai,Dharavi,19.075792,72.878616,3788.4,3992.74,Cable,0.99,True,True
LOT103438,COL2304,2025-03-02T18:59,LCD/LED panel,Laptop panel,LCD-LAP,2,5 kilo panel,mr,icon_keypad,img/lots/103438.jpg,4.9,spring_balance,partially_dismantled,apartment_drive,Nagpur,Kamptee Road,21.178029,79.110815,178.16,218.54,LCD/LED panel,0.811,True,False
LOT109034,COL2381,2025-03-02T19:28,Cable,Mixed insulated,CBL-MIX,4,waayar 26 kilo,hi,icon_keypad,img/lots/109034.jpg,26.4,platform_scale,broken,office_clearance,Mumbai,Dharavi,19.077051,72.786431,2146.06,2354.35,Cable,0.802,True,False
LOT119442,COL2132,2025-03-02T19:52,Mixed plastic,HIPS,PLA-HIPS,5,62 kilo plastic,mr,icon_keypad,img/lots/119442.jpg,61.9,platform_scale,intact,small_shop,Nashik,Satpur,20.060233,73.760416,1708.44,1893.52,Mixed plastic,0.946,True,False
LOT102118,COL2308,2025-03-03T07:12,PCB,GPU / add-on card,PCB-GPU,5,3 kilo circuit board,mr,icon_keypad,img/lots/102118.jpg,3.2,spring_balance,broken,household_pickup,Nashik,Cidco,19.966144,73.75317,2346.69,2976.38,Motor & magnet-bearing,0.791,False,False
LOT114372,COL2139,2025-03-03T08:29,Cable,Armoured / data cable,CBL-ARM,2,waayar 37 kilo,mr,voice,img/lots/114372.jpg,37.1,platform_scale,broken,office_clearance,Mumbai,Mankhurd,19.145893,72.879058,5200.31,5593.57,Cable,0.806,True,False
LOT118317,COL2237,2025-03-03T08:51,Motor & magnet-bearing,HDD assembly,MTR-HDD,3,22 kilo motor,mr,voice,img/lots/118317.jpg,21.6,spring_balance,burnt,small_shop,Mumbai,Malad West,19.085028,72.873338,3350.16,4218.7,Motor & magnet-bearing,0.95,True,False
LOT104849,COL2139,2025-03-03T09:06,Mixed plastic,Mixed dirty,PLA-MIX,2,58 kilo plastic,mr,icon_keypad,img/lots/104849.jpg,58.4,spring_balance,waterlogged,apartment_drive,Mumbai,Dharavi,19.140825,72.802365,788.4,865.49,Mixed plastic,0.834,True,False
LOT117162,COL2301,2025-03-03T09:18,PCB,Motherboard (high grade),PCB-MBH,7,9 kilo green plate,hi,voice,img/lots/117162.jpg,8.6,spring_balance,partially_dismantled,household_pickup,Pune,Kothrud,18.524617,73.890945,5188.38,6636.36,PCB,0.868,True,True
LOT113116,COL2399,2025-03-03T09:27,Mixed plastic,Mixed dirty,PLA-MIX,4,45 kilo plastic,mr,voice,img/lots/113116.jpg,44.9,platform_scale,burnt,household_pickup,Mumbai,Malad West,19.077215,72.77345,606.15,665.42,Mixed plastic,0.88,True,True
LOT115897,COL2139,2025-03-03T09:57,Mixed plastic,ABS casing,PLA-ABS,8,TV ka cover 66 kilo,mr,icon_keypad,img/lots/115897.jpg,65.6,spring_balance,intact,small_shop,Mumbai,Kurla,19.099003,72.823755,2412.11,2700.1,Mixed plastic,0.771,True,False
LOT106969,COL2011,2025-03-03T10:09,Motor & magnet-bearing,Compressor motor,MTR-CMP,2,speaker 11 kilo,mr,icon_keypad,img/lots/106969.jpg,11.1,spring_balance,intact,office_clearance,Nagpur,Manish Nagar,21.202067,79.166807,643.69,761.9,Motor & magnet-bearing,0.852,True,False
LOT118159,COL2139,2025-03-03T10:47,Mixed plastic,HIPS,PLA-HIPS,3,computer cabinet plastic 29 kilo,mr,voice,img/lots/118159.jpg,29.4,spring_balance,intact,office_clearance,Mumbai,Mankhurd,18.988283,72.913137,852.01,944.33,Mixed plastic,0.89,True,False
LOT115462,COL2139,2025-03-03T11:48,Battery,Li-ion laptop / phone pack,BAT-LI,6,14 kilo cell,mr,voice,img/lots/115462.jpg,14.3,estimated,partially_dismantled,office_clearance,Mumbai,Mankhurd,19.023326,72.876736,1488.77,1929.5,Battery,0.989,True,False
LOT100858,COL2291,2025-03-03T13:04,Cable,Mixed insulated,CBL-MIX,1,10 kilo wire mila hai,hi,voice,img/lots/100858.jpg,10.3,spring_balance,intact,small_shop,Pimpri-Chinchwad,Akurdi,18.651834,73.811559,804.64,882.81,Cable,0.759,True,False
LOT117848,COL2164,2025-03-03T13:08,Battery,Li-ion laptop / phone pack,BAT-LI,5,16 kilo battery,hi,voice,img/lots/117848.jpg,15.7,platform_scale,intact,other_collector,Mumbai,Mankhurd,19.117474,72.926115,1634.53,2118.4,Battery,0.985,True,True
LOT105123,COL2038,2025-03-03T13:19,PCB,RAM / gold-finger,PCB-RAM,9,37 kilo circuit board,mr,icon_keypad,img/lots/105123.jpg,36.8,spring_balance,waterlogged,household_pickup,Nagpur,Butibori,21.15138,79.105336,67537.2,84935.14,PCB,0.99,True,False
LOT103465,COL2038,2025-03-03T14:21,Cable,Mixed insulated,CBL-MIX,6,"50 kilo copper cable, purana",mr,voice,img/lots/103465.jpg,50.2,estimated,intact,household_pickup,Nagpur,Wadi,21.138303,79.061258,3920.62,4301.64,Cable,0.833,True,False
LOT114233,COL2292,2025-03-03T14:35,LCD/LED panel,Monitor panel,LCD-MON,6,7 kilo panel,hi,icon_keypad,img/lots/114233.jpg,7.4,platform_scale,intact,household_pickup,Nagpur,Butibori,21.176561,79.105892,232.14,282.16,LCD/LED panel,0.982,True,True
LOT116958,COL2139,2025-03-03T15:39,Cable,Armoured / data cable,CBL-ARM,1,5 kilo tambe waayar,mr,voice,img/lots/116958.jpg,4.9,spring_balance,partially_dismantled,apartment_drive,Mumbai,Vikhroli,19.081196,72.908395,686.83,738.77,Cable,0.912,True,True
LOT103452,COL2373,2025-03-03T15:54,Cable,Armoured / data cable,CBL-ARM,3,"21 kilo copper cable, purana",mr,voice,img/lots/103452.jpg,21.4,spring_balance,partially_dismantled,household_pickup,Pimpri-Chinchwad,Akurdi,18.582051,73.784852,2806.82,3019.11,Cable,0.862,True,False
LOT107503,COL2037,2025-03-03T16:14,Cable,Aluminium cable,CBL-AL,2,12 kilo tambe waayar,mr,voice,img/lots/107503.jpg,11.7,platform_scale,intact,household_pickup,Nagpur,Sitabuldi,21.160251,79.143991,1204.63,1282.67,Cable,0.786,True,False
LOT117059,COL2238,2025-03-03T17:19,Motor & magnet-bearing,Compressor motor,MTR-CMP,4,speaker 6 kilo,mr,icon_keypad,img/lots/117059.jpg,5.5,estimated,partially_dismantled,household_pickup,Mumbai,Govandi,19.027753,72.907648,338.58,400.73,PCB,0.683,False,False
LOT107191,COL2039,2025-03-03T17:44,PCB,RAM / gold-finger,PCB-RAM,1,2 kilo circuit board,mr,voice,img/lots/107191.jpg,2.3,estimated,intact,small_shop,Mumbai,Govandi,19.088325,72.860543,4519.73,5684.04,PCB,0.788,True,False
LOT105196,COL2219,2025-03-03T17:57,Mixed plastic,HIPS,PLA-HIPS,2,computer cabinet plastic 68 kilo,hi,voice,img/lots/105196.jpg,67.5,platform_scale,intact,small_shop,Pimpri-Chinchwad,Chinchwad,18.666878,73.875306,1907.55,2114.78,LCD/LED panel,0.595,False,False
LOT118462,COL2080,2025-03-03T17:58,PCB,RAM / gold-finger,PCB-RAM,7,motherboard 10 kilo,hi,voice,img/lots/118462.jpg,9.9,spring_balance,partially_dismantled,small_shop,Pimpri-Chinchwad,Nigdi,18.603944,73.851294,19826.24,24933.65,PCB,0.813,True,False
LOT103269,COL2129,2025-03-03T18:24,Mixed plastic,PC/ABS blend,PLA-PCABS,2,40 kilo plastic,mr,voice,img/lots/103269.jpg,40.2,spring_balance,broken,household_pickup,Pune,Dhankawadi,18.535159,73.849717,1566.59,1770.41,Mixed plastic,0.974,True,False
LOT118972,COL2331,2025-03-03T18:24,Mixed plastic,Mixed dirty,PLA-MIX,2,computer cabinet plastic 21 kilo,hi,voice,img/lots/118972.jpg,20.9,estimated,partially_dismantled,household_pickup,Pimpri-Chinchwad,Pimpri,18.643765,73.80799,278.81,305.98,Mixed plastic,0.768,True,False
LOT104127,COL2194,2025-03-03T18:25,CRT,Monochrome monitor tube,CRT-MON,3,60 kilo purana TV tube,hi,icon_keypad,img/lots/104127.jpg,60.1,spring_balance,partially_dismantled,apartment_drive,Nagpur,Butibori,21.149932,79.011529,604.01,793.92,CRT,0.937,True,True
LOT101629,COL2376,2025-03-03T18:35,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,4,speaker 24 kilo,mr,voice,img/lots/101629.jpg,24.5,platform_scale,partially_dismantled,household_pickup,Pune,Kothrud,18.460391,73.913594,1813.74,2185.89,Motor & magnet-bearing,0.957,True,False
