trace_id,lot_id,txn_id,handover_ref,photo_refs,photo_reused_from_other_lot,scale_photo_ref,weight_kg,gps_lat,gps_lng,gps_accuracy_m,captured_at,device_offline_at_capture,synced_at,sync_lag_minutes,recycler_confirmed_at,confirmation_method,downstream_status,epr_credit_reference
TRC700010,LOT100997,TXN500011,KC-LU3CVV,img/lots/100997.jpg|img/handover/500010_0.jpg|img/handover/500010_1.jpg|img/handover/500010_2.jpg,False,img/scale/500010.jpg,9.9,19.884991,75.415283,29,2025-03-03T06:47,False,2025-03-03T06:49,2,2025-03-03T16:25,spoken_code,recovery_complete,EPR/MH/2026/51556
TRC700011,LOT101516,TXN500012,KC-J6PFMJ,img/lots/101516.jpg|img/handover/500011_0.jpg|img/handover/500011_1.jpg,False,img/scale/500011.jpg,2.8,19.09417,72.984504,8,2025-03-03T18:14,True,2025-03-04T01:13,419,2025-03-04T03:21,qr_scan,recovery_complete,EPR/MH/2025/16440
TRC700012,LOT119055,TXN500013,KC-VX3MFU,img/lots/119055.jpg|img/handover/500012_0.jpg|img/handover/500012_1.jpg|img/handover/500012_2.jpg,False,img/scale/500012.jpg,30.4,19.884991,75.415283,4,2025-03-02T12:36,True,2025-03-02T22:36,600,2025-03-02T20:33,qr_scan,segregated,EPR/MH/2026/43060
TRC700013,LOT118345,TXN500014,KC-UXEJD6,img/lots/118345.jpg|img/handover/500013_0.jpg,False,img/scale/500013.jpg,6.7,18.620266,73.821743,18,2025-03-03T00:13,False,2025-03-03T00:15,2,2025-03-03T00:40,code_entry,awaiting_confirmation,EPR/MH/2025/31965
TRC700014,LOT112678,TXN500015,KC-4HH7HD,img/lots/112678.jpg|img/handover/500014_0.jpg|img/handover/500014_1.jpg|img/handover/500014_2.jpg,False,img/scale/500014.jpg,12.6,19.061762,73.088075,7,2025-03-03T14:27,False,2025-03-03T14:27,0,2025-03-03T14:44,code_entry,segregated,EPR/MH/2026/38275
TRC700015,LOT115628,TXN500016,KC-TE3CPH,img/lots/115628.jpg|img/handover/500015_0.jpg,False,img/scale/500015.jpg,6.4,19.884991,75.415283,7,2025-03-05T09:45,False,2025-03-05T09:47,2,2025-03-05T21:35,code_entry,recovery_complete,
TRC700016,LOT102578,TXN500017,KC-EULKR3,img/lots/102578.jpg|img/handover/500016_0.jpg|img/handover/500016_1.jpg,False,img/scale/500016.jpg,55.0,19.118039,73.013026,13,2025-03-02T20:38,True,2025-03-03T07:17,639,2025-03-03T12:15,qr_scan,sent_for_recovery,EPR/MH/2026/52461
TRC700017,LOT103981,TXN500019,KC-HLXKFD,img/lots/103981.jpg|img/handover/500017_0.jpg|img/handover/500017_1.jpg,False,img/scale/500017.jpg,6.9,19.987342,73.74065,29,2025-03-04T10:30,False,2025-03-04T10:31,1,2025-03-04T18:30,code_entry,sent_for_recovery,
TRC700018,LOT115265,TXN500020,KC-EJWTCF,img/lots/115265.jpg|img/handover/500018_0.jpg|img/handover/500018_1.jpg|img/handover/500018_2.jpg,False,img/scale/500018.jpg,21.0,18.744455,73.854611,24,2025-03-06T10:23,False,2025-03-06T10:25,2,2025-03-06T17:49,code_entry,sent_for_recovery,
TRC700019,LOT103163,TXN500021,KC-LENACV,img/lots/103163.jpg|img/handover/500019_0.jpg|img/handover/500019_1.jpg,False,img/scale/500019.jpg,2.6,18.612589,73.826611,20,2025-03-03T10:47,False,2025-03-03T10:48,1,2025-03-04T06:07,code_entry,segregated,EPR/MH/2025/80185
TRC700020,LOT103501,TXN500022,KC-7VXMFV,img/lots/103501.jpg|img/handover/500020_0.jpg|img/handover/500020_1.jpg|img/handover/500020_2.jpg,False,img/scale/500020.jpg,43.4,20.924287,79.001457,11,2025-03-04T02:14,False,2025-03-04T02:16,2,2025-03-04T20:02,spoken_code,sent_for_recovery,
TRC700021,LOT114188,TXN500023,KC-73T3CD,img/lots/114188.jpg|img/handover/500021_0.jpg|img/handover/500021_1.jpg|img/handover/500021_2.jpg,False,img/scale/500021.jpg,13.3,19.067752,73.07251,25,2025-03-02T22:02,False,2025-03-02T22:04,2,2025-03-03T04:05,qr_scan,recovery_complete,EPR/MH/2026/68062
TRC700022,LOT116698,TXN500024,KC-DFRANP,img/lots/116698.jpg|img/handover/500022_0.jpg|img/handover/500022_1.jpg|img/handover/500022_2.jpg,False,img/scale/500022.jpg,14.6,19.892702,75.483491,16,2025-03-03T10:12,True,2025-03-03T17:01,409,2025-03-03T11:38,spoken_code,awaiting_confirmation,EPR/MH/2026/21315
TRC700023,LOT114707,TXN500025,KC-JMRXJM,img/lots/114707.jpg|img/handover/500023_0.jpg|img/handover/500023_1.jpg,False,img/scale/500023.jpg,7.8,19.197379,73.19812,19,2025-03-03T10:50,False,2025-03-03T10:50,0,2025-03-03T23:41,qr_scan,recovery_complete,
TRC700024,LOT112046,TXN500026,KC-TE7CPX,img/lots/112046.jpg|img/handover/500024_0.jpg|img/handover/500024_1.jpg|img/handover/500024_2.jpg,False,img/scale/500024.jpg,11.5,19.987342,73.74065,14,2025-03-03T05:14,False,2025-03-03T05:17,3,2025-03-03T21:13,spoken_code,sent_for_recovery,EPR/MH/2025/84102
TRC700025,LOT103466,TXN500027,KC-AKVVR7,img/lots/103466.jpg|img/handover/500025_0.jpg|img/handover/500025_1.jpg,False,img/scale/500025.jpg,26.3,19.892702,75.483491,12,2025-03-02T19:09,False,2025-03-02T19:11,2,2025-03-03T11:33,qr_scan,received_at_facility,EPR/MH/2025/32502
TRC700026,LOT117128,TXN500028,KC-F39LT4,img/lots/117128.jpg|img/handover/500026_0.jpg|img/handover/500026_1.jpg|img/handover/500026_2.jpg,False,img/scale/500026.jpg,40.3,19.965501,73.796833,30,2025-03-03T08:30,True,2025-03-03T19:13,643,2025-03-03T16:10,code_entry,sent_for_recovery,
TRC700027,LOT111162,TXN500029,KC-TRVD6C,img/lots/111162.jpg|img/handover/500027_0.jpg|img/handover/500027_1.jpg|img/handover/500027_2.jpg,False,img/scale/500027.jpg,7.4,18.683961,73.76457,34,2025-03-02T03:25,False,2025-03-02T03:28,3,2025-03-02T03:43,qr_scan,recovery_complete,EPR/MH/2026/15371
TRC700028,LOT117163,TXN500030,KC-MFLXWT,img/lots/117163.jpg|img/handover/500028_0.jpg|img/handover/500028_1.jpg,False,img/scale/500028.jpg,11.0,20.007228,73.704275,28,2025-03-03T04:48,False,2025-03-03T04:49,1,2025-03-04T00:35,code_entry,sent_for_recovery,EPR/MH/2025/70702
TRC700029,LOT117184,TXN500031,KC-KMWNP4,img/lots/117184.jpg|img/handover/500029_0.jpg|img/handover/500029_1.jpg,False,img/scale/500029.jpg,9.8,19.051579,72.877861,19,2025-03-02T16:44,True,2025-03-05T03:21,3517,2025-03-03T06:37,code_entry,segregated,EPR/MH/2026/35944
TRC700030,LOT100757,TXN500032,KC-7WMRRY,img/lots/100757.jpg|img/handover/500030_0.jpg,False,img/scale/500030.jpg,143.7,19.892702,75.483491,18,2025-03-04T07:48,True,2025-03-04T12:38,290,2025-03-04T14:40,qr_scan,segregated,EPR/MH/2025/27267
TRC700031,LOT114247,TXN500035,KC-HFP4K3,img/lots/114247.jpg|img/handover/500031_0.jpg|img/handover/500031_1.jpg,False,img/scale/500031.jpg,9.3,18.508503,73.926714,15,2025-03-05T19:50,False,2025-03-05T19:52,2,,spoken_code,sent_for_recovery,
TRC700032,LOT102774,TXN500036,KC-FUT4PN,img/lots/102774.jpg|img/handover/500032_0.jpg|img/handover/500032_1.jpg|img/handover/500032_2.jpg,False,img/scale/500032.jpg,1.7,19.876948,75.429841,40,2025-03-07T02:26,False,2025-03-07T02:28,2,2025-03-07T18:38,code_entry,awaiting_confirmation,
TRC700033,LOT113181,TXN500037,KC-7RVANE,img/lots/113181.jpg|img/handover/500033_0.jpg|img/handover/500033_1.jpg|img/handover/500033_2.jpg,False,img/scale/500033.jpg,69.3,19.884991,75.415283,4,2025-03-05T09:45,False,2025-03-05T09:47,2,2025-03-05T16:03,spoken_code,recovery_complete,EPR/MH/2026/25574
TRC700034,LOT116290,TXN500038,KC-U3RYMM,img/lots/116290.jpg|img/handover/500034_0.jpg|img/handover/500034_1.jpg,False,img/scale/500034.jpg,8.9,19.987342,73.74065,12,2025-03-07T08:32,True,2025-03-07T14:15,343,2025-03-07T13:18,code_entry,received_at_facility,EPR/MH/2026/98123
TRC700035,LOT107720,TXN500039,KC-RVR936,img/lots/107720.jpg|img/handover/500035_0.jpg|img/handover/500035_1.jpg|img/handover/500035_2.jpg,False,img/scale/500035.jpg,17.4,18.490549,73.938886,22,2025-03-06T10:52,False,2025-03-06T10:52,0,,qr_scan,awaiting_confirmation,
TRC700036,LOT100475,TXN500040,KC-7EDMDD,img/lots/100475.jpg|img/handover/500036_0.jpg|img/handover/500036_1.jpg|img/handover/500036_2.jpg,False,img/scale/500036.jpg,19.0,19.884991,75.415283,7,2025-03-03T08:42,False,2025-03-03T08:42,0,2025-03-03T15:28,code_entry,received_at_facility,EPR/MH/2025/77009
TRC700037,LOT100244,TXN500041,KC-E9NWPY,img/lots/100244.jpg|img/handover/500037_0.jpg,False,img/scale/500037.jpg,30.6,20.023106,73.771602,22,2025-03-06T00:41,False,2025-03-06T00:41,0,2025-03-06T09:30,qr_scan,sent_for_recovery,EPR/MH/2025/55413
TRC700038,LOT105311,TXN500042,KC-WE7Y6F,img/lots/105311.jpg|img/handover/500038_0.jpg,False,img/scale/500038.jpg,1.2,18.665448,73.756097,29,2025-03-04T21:51,False,2025-03-04T21:51,0,2025-03-05T14:45,qr_scan,received_at_facility,EPR/MH/2026/10635
TRC700039,LOT113436,TXN500043,KC-MF9UAK,img/lots/113436.jpg|img/handover/500039_0.jpg,False,img/scale/500039.jpg,70.0,19.892702,75.483491,56,2025-03-07T01:34,True,2025-03-07T14:34,780,2025-03-07T07:17,qr_scan,sent_for_recovery,EPR/MH/2025/32089
TRC700040,LOT101176,TXN500045,KC-TDTL6X,img/lots/101176.jpg|img/handover/500040_0.jpg,False,img/scale/500040.jpg,62.0,18.620266,73.821743,11,2025-03-07T09:59,False,2025-03-07T10:02,3,2025-03-07T14:20,qr_scan,awaiting_confirmation,EPR/MH/2025/69509
TRC700041,LOT108411,TXN500046,KC-47NDAT,img/lots/108411.jpg|img/handover/500041_0.jpg|img/handover/500041_1.jpg,False,img/scale/500041.jpg,47.5,20.003277,73.812481,31,2025-03-05T04:21,False,2025-03-05T04:21,0,2025-03-05T05:19,code_entry,recovery_complete,EPR/MH/2025/15719
TRC700042,LOT112451,TXN500047,KC-VF4AMW,img/lots/112451.jpg|img/handover/500042_0.jpg|img/handover/500042_1.jpg|img/handover/500042_2.jpg,False,img/scale/500042.jpg,16.5,18.60717,73.817319,18,2025-03-06T05:35,True,2025-03-06T13:42,487,2025-03-06T14:55,qr_scan,recovery_complete,EPR/MH/2026/67300
TRC700043,LOT108944,TXN500048,KC-XCUWXN,img/lots/108944.jpg|img/handover/500043_0.jpg|img/handover/500043_1.jpg|img/handover/500043_2.jpg,False,img/scale/500043.jpg,28.1,19.067752,73.07251,8,2025-03-04T10:40,False,2025-03-04T10:42,2,2025-03-04T18:19,code_entry,sent_for_recovery,EPR/MH/2026/86593
TRC700044,LOT119714,TXN500049,KC-VFW3FX,img/lots/119714.jpg|img/handover/500044_0.jpg|img/handover/500044_1.jpg,False,img/scale/500044.jpg,44.3,18.490549,73.938886,10,2025-03-07T05:48,False,2025-03-07T05:49,1,2025-03-07T23:25,qr_scan,received_at_facility,EPR/MH/2026/84285
TRC700045,LOT113728,TXN500050,KC-6DKNMU,img/lots/113728.jpg|img/handover/500045_0.jpg|img/handover/500045_1.jpg|img/handover/500045_2.jpg,False,img/scale/500045.jpg,7.8,18.620266,73.821743,12,2025-03-05T03:03,False,2025-03-05T03:06,3,2025-03-05T16:57,qr_scan,recovery_complete,
TRC700046,LOT107405,TXN500051,KC-EYJCJH,img/lots/107405.jpg|img/handover/500046_0.jpg|img/handover/500046_1.jpg|img/handover/500046_2.jpg,False,img/scale/500046.jpg,14.0,19.051579,72.877861,24,2025-03-04T01:43,False,2025-03-04T01:44,1,2025-03-04T10:08,spoken_code,recovery_complete,EPR/MH/2025/56194
TRC700047,LOT103438,TXN500052,KC-4WHAEK,img/lots/103438.jpg|img/handover/500047_0.jpg,False,img/scale/500047.jpg,4.8,21.09921,78.948538,11,2025-03-05T14:25,True,2025-03-05T23:35,550,2025-03-05T22:13,spoken_code,received_at_facility,EPR/MH/2026/60742
TRC700048,LOT119442,TXN500053,KC-U4TMJW,img/lots/119442.jpg|img/handover/500048_0.jpg,False,img/scale/500048.jpg,61.6,19.976167,73.716182,35,2025-03-06T04:50,False,2025-03-06T04:51,1,2025-03-06T10:19,code_entry,segregated,EPR/MH/2026/40870
TRC700049,LOT102118,TXN500054,KC-L7ANHX,img/lots/102118.jpg|img/handover/500049_0.jpg,False,img/scale/500049.jpg,3.2,19.987342,73.74065,36,2025-03-04T11:45,False,2025-03-04T11:46,1,2025-03-04T19:05,spoken_code,recovery_complete,
TRC700050,LOT114372,TXN500055,KC-EAC6U4,img/lots/114372.jpg|img/handover/500050_0.jpg|img/handover/500050_1.jpg,False,img/scale/500050.jpg,39.5,19.130163,73.018162,22,2025-03-06T17:01,True,2025-03-06T20:52,231,2025-03-06T18:23,spoken_code,sent_for_recovery,EPR/MH/2026/39314
TRC700051,LOT118317,TXN500056,KC-UKL4NM,img/lots/118317.jpg|img/handover/500051_0.jpg,False,img/scale/500051.jpg,21.7,19.197379,73.19812,12,2025-03-06T01:39,False,2025-03-06T01:39,0,2025-03-06T16:35,code_entry,sent_for_recovery,EPR/MH/2025/32446
TRC700052,LOT113116,TXN500057,KC-44RLRL,img/lots/113116.jpg|img/handover/500052_0.jpg|img/handover/500052_1.jpg|img/handover/500052_2.jpg,False,img/scale/500052.jpg,43.6,19.117684,73.009673,13,2025-03-05T13:04,True,2025-03-05T23:04,600,2025-03-05T19:42,qr_scan,segregated,EPR/MH/2025/24129
TRC700053,LOT115897,TXN500058,KC-TT9APP,img/lots/115897.jpg|img/handover/500053_0.jpg,False,img/scale/500053.jpg,64.9,19.053222,73.10613,17,2025-03-07T06:44,True,2025-03-07T07:15,31,2025-03-07T16:36,qr_scan,sent_for_recovery,EPR/MH/2025/38311
TRC700054,LOT106969,TXN500059,KC-VAPVF9,img/lots/106969.jpg|img/handover/500054_0.jpg|img/handover/500054_1.jpg,False,img/scale/500054.jpg,10.7,21.234281,78.936805,15,2025-03-06T22:06,False,2025-03-06T22:07,1,,spoken_code,received_at_facility,EPR/MH/2025/79836
TRC700055,LOT118159,TXN500060,KC-6ATKH7,img/lots/118159.jpg|img/handover/500055_0.jpg|img/handover/500055_1.jpg,False,img/scale/500055.jpg,30.2,19.051579,72.877861,9,2025-03-06T12:57,True,2025-03-06T22:49,592,2025-03-06T13:42,code_entry,recovery_complete,
TRC700056,LOT115462,TXN500061,KC-DTWPVC,img/lots/115462.jpg|img/handover/500056_0.jpg|img/handover/500056_1.jpg,False,img/scale/500056.jpg,14.0,19.051579,72.877861,9,2025-03-07T22:52,False,2025-03-07T22:52,0,2025-03-08T16:23,qr_scan,recovery_complete,EPR/MH/2025/33868
TRC700057,LOT100858,TXN500062,KC-636D4R,img/lots/100858.jpg|img/handover/500057_0.jpg|img/handover/500057_1.jpg,False,img/scale/500057.jpg,10.3,18.620266,73.821743,23,2025-03-08T06:24,True,2025-03-08T08:00,96,2025-03-09T00:15,code_entry,awaiting_confirmation,EPR/MH/2025/43423
TRC700058,LOT117848,TXN500063,KC-9TL6NE,img/lots/117848.jpg|img/handover/500058_0.jpg|img/handover/500058_1.jpg|img/handover/500058_2.jpg,False,img/scale/500058.jpg,14.4,19.09417,72.984504,15,2025-03-04T11:59,False,2025-03-04T12:00,1,,qr_scan,sent_for_recovery,
TRC700059,LOT105123,TXN500064,KC-CCW4LK,img/lots/105123.jpg|img/handover/500059_0.jpg,False,img/scale/500059.jpg,39.6,21.127708,78.961071,27,2025-03-05T03:51,False,2025-03-05T03:51,0,2025-03-05T14:38,spoken_code,sent_for_recovery,EPR/MH/2025/32204
TRC700060,LOT114233,TXN500065,KC-L69H44,img/lots/114233.jpg|img/handover/500060_0.jpg|img/handover/500060_1.jpg|img/handover/500060_2.jpg,False,img/scale/500060.jpg,7.1,21.234049,78.898754,15,2025-03-07T12:16,True,2025-03-07T22:04,588,2025-03-08T03:11,qr_scan,sent_for_recovery,EPR/MH/2025/16075
TRC700061,LOT103452,TXN500067,KC-K7ENNE,img/lots/103452.jpg|img/handover/500061_0.jpg|img/handover/500061_1.jpg,False,img/scale/500061.jpg,22.1,18.683961,73.76457,38,2025-03-03T23:48,True,2025-03-04T09:44,596,2025-03-04T16:08,qr_scan,segregated,EPR/MH/2025/50026
TRC700062,LOT107503,TXN500068,KC-FMY9FW,img/lots/107503.jpg|img/handover/500062_0.jpg|img/handover/500062_1.jpg|img/handover/500062_2.jpg,False,img/scale/500062.jpg,11.4,21.224069,78.915987,31,2025-03-07T03:39,False,2025-03-07T03:41,2,2025-03-07T08:43,spoken_code,segregated,EPR/MH/2026/58764
TRC700063,LOT103269,TXN500071,KC-7N9YDX,img/lots/103269.jpg|img/handover/500063_0.jpg|img/handover/500063_1.jpg|img/handover/500063_2.jpg,False,img/scale/500063.jpg,40.9,18.525282,73.926857,19,2025-03-07T03:49,False,2025-03-07T03:49,0,2025-03-07T14:01,code_entry,recovery_complete,EPR/MH/2025/37481
TRC700064,LOT104127,TXN500072,KC-6AUMV4,img/lots/104127.jpg|img/handover/500064_0.jpg|img/handover/500064_1.jpg,False,img/scale/500064.jpg,59.4,21.260233,78.923009,17,2025-03-07T14:59,False,2025-03-07T15:02,3,2025-03-08T06:34,qr_scan,segregated,EPR/MH/2026/20725
TRC700065,LOT101629,TXN500073,KC-KETMTW,img/lots/101629.jpg|img/handover/500065_0.jpg|img/handover/500065_1.jpg,False,img/scale/500065.jpg,24.0,18.490549,73.938886,46,2025-03-06T11:50,True,2025-03-10T18:47,6177,2025-03-06T18:29,spoken_code,recovery_complete,
TRC700066,LOT111792,TXN500074,KC-ALKAEH,img/lots/111792.jpg|img/handover/500066_0.jpg|img/handover/500066_1.jpg|img/handover/500066_2.jpg,False,img/scale/500066.jpg,28.2,19.09417,72.984504,30,2025-03-08T14:08,True,2025-03-10T06:36,2428,2025-03-08T19:33,spoken_code,recovery_complete,EPR/MH/2026/94815
TRC700067,LOT113507,TXN500075,KC-JJ9WMM,img/lots/113507.jpg|img/handover/500067_0.jpg|img/handover/500067_1.jpg|img/handover/500067_2.jpg,False,img/scale/500067.jpg,36.1,21.260233,78.923009,24,2025-03-04T18:33,True,2025-03-05T05:38,665,2025-03-05T01:02,code_entry,segregated,EPR/MH/2025/71424
TRC700068,LOT115781,TXN500076,KC-CJDMFW,img/lots/115781.jpg|img/handover/500068_0.jpg,False,img/scale/500068.jpg,16.5,18.665448,73.756097,16,2025-03-06T04:13,True,2025-03-08T00:16,2643,,qr_scan,received_at_facility,EPR/MH/2026/60573
TRC700069,LOT104976,TXN500077,KC-WVP39X,img/lots/104976.jpg|img/handover/500069_0.jpg|img/handover/500069_1.jpg|img/handover/500069_2.jpg,False,img/scale/500069.jpg,6.3,18.491869,73.946043,6,2025-03-06T07:35,True,2025-03-06T10:00,145,2025-03-07T02:08,code_entry,segregated,EPR/MH/2026/34903
TRC700070,LOT111837,TXN500078,KC-M3M439,img/lots/111837.jpg|img/handover/500070_0.jpg|img/handover/500070_1.jpg|img/handover/500070_2.jpg,False,img/scale/500070.jpg,24.6,20.007228,73.704275,21,2025-03-05T13:16,False,2025-03-05T13:19,3,2025-03-06T01:44,code_entry,segregated,EPR/MH/2026/92937
TRC700071,LOT110158,TXN500079,KC-RPWAPF,img/lots/110158.jpg|img/handover/500071_0.jpg|img/handover/500071_1.jpg|img/handover/500071_2.jpg,False,img/scale/500071.jpg,16.9,19.976167,73.716182,17,2025-03-06T02:28,False,2025-03-06T02:29,1,2025-03-06T21:15,qr_scan,received_at_facility,EPR/MH/2026/22755
TRC700072,LOT111556,TXN500081,KC-PRUAYV,img/lots/111556.jpg|img/handover/500072_0.jpg|img/handover/500072_1.jpg,False,img/scale/500072.jpg,75.0,19.05694,72.918592,17,2025-03-08T18:28,False,2025-03-08T18:29,1,2025-03-08T18:55,code_entry,segregated,EPR/MH/2026/11427
TRC700073,LOT118407,TXN500082,KC-VVATUE,img/lots/118407.jpg|img/handover/500073_0.jpg|img/handover/500073_1.jpg|img/handover/500073_2.jpg,False,img/scale/500073.jpg,44.4,18.525282,73.926857,27,2025-03-08T02:16,True,2025-03-11T11:03,4847,2025-03-08T16:52,qr_scan,recovery_complete,EPR/MH/2025/50303
TRC700074,LOT101106,TXN500083,KC-4M99TW,img/lots/101106.jpg|img/handover/500074_0.jpg,False,img/scale/500074.jpg,14.8,19.065364,72.880145,22,2025-03-07T04:41,False,2025-03-07T04:44,3,2025-03-07T20:34,spoken_code,recovery_complete,
TRC700075,LOT106712,TXN500084,KC-7UYRK9,img/lots/106712.jpg|img/handover/500075_0.jpg,False,img/scale/500075.jpg,159.9,19.118039,73.013026,9,2025-03-05T16:58,True,2025-03-05T19:52,174,2025-03-06T05:29,spoken_code,recovery_complete,EPR/MH/2026/98874
TRC700076,LOT105415,TXN500085,KC-RDJAYU,img/lots/105415.jpg|img/handover/500076_0.jpg|img/handover/500076_1.jpg,False,img/scale/500076.jpg,80.8,19.884991,75.415283,16,2025-03-07T11:24,False,2025-03-07T11:26,2,2025-03-08T07:16,spoken_code,received_at_facility,EPR/MH/2025/58742
TRC700077,LOT114171,TXN500086,KC-MATEAX,img/lots/114171.jpg|img/handover/500077_0.jpg,False,img/scale/500077.jpg,5.6,18.798913,74.228936,8,2025-03-06T13:47,True,2025-03-08T12:32,2805,2025-03-06T14:16,code_entry,segregated,EPR/MH/2026/93306
TRC700078,LOT106827,TXN500087,KC-DCE9VW,img/lots/106827.jpg|img/handover/500078_0.jpg,False,img/scale/500078.jpg,92.8,18.496782,73.904909,22,2025-03-07T20:57,False,2025-03-07T20:59,2,2025-03-08T05:06,qr_scan,sent_for_recovery,EPR/MH/2026/51585
TRC700079,LOT101986,TXN500088,KC-VUA3EK,img/lots/101986.jpg|img/handover/500079_0.jpg|img/handover/500079_1.jpg,False,img/scale/500079.jpg,1.1,18.600139,73.85014,26,2025-03-06T04:39,False,2025-03-06T04:42,3,2025-03-06T17:54,spoken_code,recovery_complete,EPR/MH/2025/10589
TRC700080,LOT102936,TXN500089,KC-JTC7CE,img/lots/102936.jpg|img/handover/500080_0.jpg,False,img/scale/500080.jpg,57.1,18.665448,73.756097,27,2025-03-07T21:54,True,2025-03-08T02:49,295,2025-03-08T11:07,qr_scan,sent_for_recovery,EPR/MH/2025/83015
TRC700081,LOT117056,TXN500090,KC-XVTXD4,img/lots/117056.jpg|img/handover/500081_0.jpg,False,img/scale/500081.jpg,61.0,18.795498,73.884911,11,2025-03-08T19:11,False,2025-03-08T19:13,2,2025-03-08T23:39,code_entry,awaiting_confirmation,
TRC700082,LOT110374,TXN500092,KC-HKCMRW,img/lots/110374.jpg|img/handover/500082_0.jpg|img/handover/500082_1.jpg,False,img/scale/500082.jpg,62.6,19.870816,75.388885,24,2025-03-06T03:17,False,2025-03-06T03:18,1,2025-03-06T09:46,qr_scan,recovery_complete,EPR/MH/2026/84878
TRC700083,LOT104551,TXN500093,KC-TVXWPC,img/lots/104551.jpg|img/handover/500083_0.jpg|img/handover/500083_1.jpg,False,img/scale/500083.jpg,101.3,20.007228,73.704275,22,2025-03-08T14:55,True,2025-03-09T01:25,630,2025-03-09T09:48,spoken_code,segregated,EPR/MH/2025/90087
TRC700084,LOT118977,TXN500094,KC-FDPCA6,img/lots/118977.jpg|img/handover/500084_0.jpg,False,img/scale/500084.jpg,18.1,18.753425,74.24613,59,2025-03-06T02:09,False,2025-03-06T02:09,0,2025-03-06T16:24,qr_scan,segregated,EPR/MH/2025/44669
TRC700085,LOT104662,TXN500095,KC-JKUNJN,img/lots/104662.jpg|img/handover/500085_0.jpg,False,img/scale/500085.jpg,1.5,18.753425,74.24613,21,2025-03-09T03:18,False,2025-03-09T03:19,1,2025-03-09T12:07,qr_scan,received_at_facility,EPR/MH/2025/54530
