material,category,item_type,locality,unit,quantity,quality,days_index,date,base_reference_price,price,city,synthetic
Mix Plastic,Plastic,mixed,Sodala,kg,30.8,mixed,122,2026-07-05,7.0,6.23,Jaipur,true
Mix Plastic,Plastic,mixed,Barkat Nagar,kg,25.9,mixed,61,2026-05-05,7.0,6.37,Jaipur,true
Mix Plastic,Plastic,mixed,Ramnagariya,kg,40.4,mixed,115,2026-06-28,7.0,6.01,Jaipur,true
Mix Plastic,Plastic,mixed,Gopalpura,kg,8.8,damaged,45,2026-04-19,7.0,4.47,Jaipur,true
Mix Plastic,Plastic,mixed,Patrakar Colony,kg,115.9,mixed,102,2026-06-15,7.0,6.05,Jaipur,true
Mix Plastic,Plastic,mixed,Ramnagariya,kg,30.2,clean,81,2026-05-25,7.0,5.75,Jaipur,true
Mix Plastic,Plastic,mixed,Raja Park,kg,108.3,mixed,136,2026-07-19,7.0,6.56,Jaipur,true
Mix Plastic,Plastic,mixed,Hasanpura,kg,22.3,mixed,153,2026-08-05,7.0,7.42,Jaipur,true
Mix Plastic,Plastic,mixed,Patrakar Colony,kg,89.4,clean,140,2026-07-23,7.0,6.72,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,104.6,clean,154,2026-08-06,7.0,8.01,Jaipur,true
Mix Plastic,Plastic,mixed,Durgapura,kg,78.1,mixed,79,2026-05-23,7.0,5.93,Jaipur,true
Mix Plastic,Plastic,mixed,Civil Lines,kg,83.2,clean,81,2026-05-25,7.0,6.57,Jaipur,true
Mix Plastic,Plastic,mixed,Mansarovar,kg,41.8,mixed,108,2026-06-21,7.0,6.7,Jaipur,true
Mix Plastic,Plastic,mixed,Airport Area,kg,55.7,clean,109,2026-06-22,7.0,6.86,Jaipur,true
Mix Plastic,Plastic,mixed,Adarsh Nagar,kg,24.9,dirty,89,2026-06-02,7.0,4.51,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,84.6,mixed,60,2026-05-04,7.0,6.42,Jaipur,true
Mix Plastic,Plastic,mixed,Tonk Road,kg,74.9,damaged,21,2026-03-26,7.0,4.75,Jaipur,true
Mix Plastic,Plastic,mixed,Shyam Nagar,kg,119.3,mixed,135,2026-07-18,7.0,6.27,Jaipur,true
Mix Plastic,Plastic,mixed,Vaishali Nagar,kg,85.4,mixed,148,2026-07-31,7.0,7.19,Jaipur,true
Mix Plastic,Plastic,mixed,Chandpole,kg,68.9,mixed,169,2026-08-21,7.0,7.85,Jaipur,true
Mix Plastic,Plastic,mixed,Raja Park,kg,20.1,dirty,55,2026-04-29,7.0,5.32,Jaipur,true
Mix Plastic,Plastic,mixed,Ramnagariya,kg,49.8,mixed,18,2026-03-23,7.0,6.12,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,71.3,mixed,87,2026-05-31,10.0,8.11,Jaipur,true
Soft Plastic,Plastic,soft,Chandpole,kg,85.2,clean,140,2026-07-23,10.0,10.55,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,42.7,dirty,163,2026-08-15,10.0,8.4,Jaipur,true
Soft Plastic,Plastic,soft,MI Road,kg,55.3,mixed,39,2026-04-13,10.0,9.53,Jaipur,true
Soft Plastic,Plastic,soft,Model Town,kg,38.2,dirty,17,2026-03-22,10.0,8.19,Jaipur,true
Soft Plastic,Plastic,soft,Sodala,kg,15.4,mixed,84,2026-05-28,10.0,8.26,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,15.3,dirty,125,2026-07-08,10.0,7.14,Jaipur,true
Soft Plastic,Plastic,soft,Chandpole,kg,67.6,clean,11,2026-03-16,10.0,10.38,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,76.9,dirty,151,2026-08-03,10.0,8.13,Jaipur,true
Soft Plastic,Plastic,soft,C-Scheme,kg,42.4,mixed,157,2026-08-09,10.0,10.09,Jaipur,true
Soft Plastic,Plastic,soft,Nirman Nagar,kg,8.2,damaged,74,2026-05-18,10.0,6.2,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,70.6,dirty,115,2026-06-28,10.0,8.16,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,38.2,mixed,51,2026-04-25,10.0,8.41,Jaipur,true
Soft Plastic,Plastic,soft,Civil Lines,kg,1.9,mixed,179,2026-08-31,10.0,10.16,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,50.9,dirty,74,2026-05-18,10.0,6.7,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,5.0,clean,155,2026-08-07,10.0,10.71,Jaipur,true
Soft Plastic,Plastic,soft,Mansarovar,kg,104.8,mixed,93,2026-06-06,10.0,9.07,Jaipur,true
Soft Plastic,Plastic,soft,Nirman Nagar,kg,17.5,dirty,125,2026-07-08,10.0,7.67,Jaipur,true
Soft Plastic,Plastic,soft,C-Scheme,kg,72.6,mixed,20,2026-03-25,10.0,9.51,Jaipur,true
Soft Plastic,Plastic,soft,Sodala,kg,106.9,clean,64,2026-05-08,10.0,9.17,Jaipur,true
Soft Plastic,Plastic,soft,Nirman Nagar,kg,54.3,mixed,64,2026-05-08,10.0,9.04,Jaipur,true
Soft Plastic,Plastic,soft,Patrakar Colony,kg,5.4,clean,24,2026-03-29,10.0,9.22,Jaipur,true
Soft Plastic,Plastic,soft,MI Road,kg,99.3,mixed,50,2026-04-24,10.0,9.01,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,100.5,dirty,2,2026-03-07,10.0,8.16,Jaipur,true
Soft Plastic,Plastic,soft,Shyam Nagar,kg,107.6,mixed,114,2026-06-27,10.0,9.15,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,15.3,clean,35,2026-04-09,10.0,10.48,Jaipur,true
Soft Plastic,Plastic,soft,C-Scheme,kg,2.1,damaged,95,2026-06-08,10.0,6.15,Jaipur,true
Soft Plastic,Plastic,soft,Shyam Nagar,kg,40.1,clean,6,2026-03-11,10.0,9.93,Jaipur,true
Soft Plastic,Plastic,soft,Mahesh Nagar,kg,104.8,mixed,3,2026-03-08,10.0,10.9,Jaipur,true
Soft Plastic,Plastic,soft,Nirman Nagar,kg,91.3,mixed,142,2026-07-25,10.0,9.92,Jaipur,true
Soft Plastic,Plastic,soft,Malviya Nagar,kg,92.3,mixed,30,2026-04-04,10.0,8.87,Jaipur,true
Soft Plastic,Plastic,soft,Durgapura,kg,21.9,mixed,43,2026-04-17,10.0,9.06,Jaipur,true
Soft Plastic,Plastic,soft,Nirman Nagar,kg,83.4,mixed,68,2026-05-12,10.0,8.94,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,52.7,mixed,20,2026-03-25,10.0,8.88,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,85.0,clean,157,2026-08-09,10.0,10.48,Jaipur,true
Soft Plastic,Plastic,soft,Model Town,kg,35.2,mixed,71,2026-05-15,10.0,8.24,Jaipur,true
Soft Plastic,Plastic,soft,C-Scheme,kg,58.1,clean,24,2026-03-29,10.0,10.2,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,49.1,dirty,59,2026-05-03,10.0,7.25,Jaipur,true
Soft Plastic,Plastic,soft,Vaishali Nagar,kg,50.8,dirty,138,2026-07-21,10.0,8.79,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,16.4,mixed,167,2026-08-19,10.0,9.6,Jaipur,true
Soft Plastic,Plastic,soft,Model Town,kg,8.3,clean,20,2026-03-25,10.0,9.72,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,15.9,damaged,9,2026-03-14,10.0,7.39,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,78.0,clean,156,2026-08-08,10.0,10.85,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,112.4,mixed,75,2026-05-19,10.0,7.88,Jaipur,true
Soft Plastic,Plastic,soft,Airport Area,kg,108.4,clean,46,2026-04-20,10.0,9.78,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,34.1,dirty,131,2026-07-14,10.0,8.15,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,51.5,clean,6,2026-03-11,10.0,10.73,Jaipur,true
Soft Plastic,Plastic,soft,Gopalpura,kg,91.6,mixed,39,2026-04-13,10.0,9.63,Jaipur,true
Soft Plastic,Plastic,soft,Shyam Nagar,kg,44.6,mixed,151,2026-08-03,10.0,9.26,Jaipur,true
Soft Plastic,Plastic,soft,Hasanpura,kg,65.9,damaged,172,2026-08-24,10.0,8.41,Jaipur,true
Soft Plastic,Plastic,soft,Hasanpura,kg,115.1,mixed,36,2026-04-10,10.0,10.03,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,103.4,mixed,52,2026-04-26,10.0,9.56,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,85.4,mixed,87,2026-05-31,10.0,8.48,Jaipur,true
Soft Plastic,Plastic,soft,Mahesh Nagar,kg,109.2,damaged,94,2026-06-07,10.0,6.75,Jaipur,true
Soft Plastic,Plastic,soft,Mahesh Nagar,kg,13.8,dirty,42,2026-04-16,10.0,8.36,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,41.9,damaged,84,2026-05-28,10.0,6.65,Jaipur,true
Soft Plastic,Plastic,soft,Raja Park,kg,90.1,dirty,154,2026-08-06,10.0,9.01,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,86.2,mixed,159,2026-08-11,10.0,11.27,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,84.3,clean,113,2026-06-26,10.0,9.41,Jaipur,true
Soft Plastic,Plastic,soft,Malviya Nagar,kg,72.4,mixed,31,2026-04-05,10.0,8.94,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,72.0,mixed,27,2026-04-01,10.0,9.01,Jaipur,true
Soft Plastic,Plastic,soft,Civil Lines,kg,34.4,mixed,116,2026-06-29,10.0,9.48,Jaipur,true
Soft Plastic,Plastic,soft,Durgapura,kg,38.9,dirty,162,2026-08-14,10.0,8.82,Jaipur,true
Soft Plastic,Plastic,soft,Vaishali Nagar,kg,71.5,dirty,144,2026-07-27,10.0,8.69,Jaipur,true
Soft Plastic,Plastic,soft,Hasanpura,kg,85.5,mixed,175,2026-08-27,10.0,11.19,Jaipur,true
Soft Plastic,Plastic,soft,Shyam Nagar,kg,84.5,mixed,137,2026-07-20,10.0,9.23,Jaipur,true
Soft Plastic,Plastic,soft,Chandpole,kg,69.0,damaged,28,2026-04-02,10.0,7.36,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,69.3,mixed,21,2026-03-26,10.0,9.04,Jaipur,true
Soft Plastic,Plastic,soft,Model Town,kg,64.0,clean,58,2026-05-02,10.0,9.52,Jaipur,true
Soft Plastic,Plastic,soft,Patrakar Colony,kg,5.1,mixed,123,2026-07-06,10.0,8.19,Jaipur,true
Soft Plastic,Plastic,soft,Barkat Nagar,kg,24.2,clean,108,2026-06-21,10.0,9.88,Jaipur,true
Soft Plastic,Plastic,soft,Mansarovar,kg,32.7,dirty,162,2026-08-14,10.0,9.44,Jaipur,true
Soft Plastic,Plastic,soft,Sodala,kg,117.9,mixed,163,2026-08-15,10.0,10.53,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,20.2,mixed,79,2026-05-23,10.0,7.58,Jaipur,true
Soft Plastic,Plastic,soft,Ramnagariya,kg,75.6,dirty,90,2026-06-03,10.0,6.74,Jaipur,true
Soft Plastic,Plastic,soft,Sodala,kg,23.1,dirty,176,2026-08-28,10.0,8.57,Jaipur,true
Soft Plastic,Plastic,soft,Civil Lines,kg,78.0,dirty,131,2026-07-14,10.0,8.23,Jaipur,true
Soft Plastic,Plastic,soft,Model Town,kg,117.0,mixed,56,2026-04-30,10.0,9.16,Jaipur,true
Soft Plastic,Plastic,soft,Civil Lines,kg,82.5,clean,117,2026-06-30,10.0,10.29,Jaipur,true
Soft Plastic,Plastic,soft,Tonk Road,kg,81.3,mixed,98,2026-06-11,10.0,8.49,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,2.0,dirty,118,2026-07-01,10.0,7.08,Jaipur,true
Soft Plastic,Plastic,soft,Durgapura,kg,89.3,mixed,127,2026-07-10,10.0,9.24,Jaipur,true
Soft Plastic,Plastic,soft,Chandpole,kg,74.1,damaged,9,2026-03-14,10.0,7.5,Jaipur,true
Soft Plastic,Plastic,soft,Airport Area,kg,105.3,mixed,13,2026-03-18,10.0,9.78,Jaipur,true
Soft Plastic,Plastic,soft,Adarsh Nagar,kg,115.2,mixed,133,2026-07-16,10.0,8.75,Jaipur,true
Soft Plastic,Plastic,soft,Durgapura,kg,12.7,dirty,100,2026-06-13,10.0,7.39,Jaipur,true
Soft Plastic,Plastic,soft,Ramnagariya,kg,119.8,mixed,102,2026-06-15,10.0,8.59,Jaipur,true
Soft Plastic,Plastic,soft,Sodala,kg,73.6,mixed,115,2026-06-28,10.0,9.41,Jaipur,true
Soft Plastic,Plastic,soft,Hasanpura,kg,20.7,dirty,23,2026-03-28,10.0,8.36,Jaipur,true
Soft Plastic,Plastic,soft,Patrakar Colony,kg,86.4,mixed,29,2026-04-03,10.0,9.03,Jaipur,true
Hard Plastic,Plastic,hard,C-Scheme,kg,5.2,mixed,132,2026-07-15,5.0,4.61,Jaipur,true
Hard Plastic,Plastic,hard,Model Town,kg,40.3,dirty,117,2026-06-30,5.0,3.95,Jaipur,true
Hard Plastic,Plastic,hard,Mansarovar,kg,82.6,damaged,131,2026-07-14,5.0,3.8,Jaipur,true
Hard Plastic,Plastic,hard,Adarsh Nagar,kg,73.7,clean,38,2026-04-12,5.0,4.81,Jaipur,true
Hard Plastic,Plastic,hard,Nirman Nagar,kg,4.2,mixed,104,2026-06-17,5.0,4.5,Jaipur,true
Hard Plastic,Plastic,hard,Raja Park,kg,59.0,clean,132,2026-07-15,5.0,5.06,Jaipur,true
Hard Plastic,Plastic,hard,Chandpole,kg,94.4,mixed,36,2026-04-10,5.0,4.87,Jaipur,true
Hard Plastic,Plastic,hard,Gopalpura,kg,94.4,mixed,69,2026-05-13,5.0,4.13,Jaipur,true
Hard Plastic,Plastic,hard,Malviya Nagar,kg,99.1,dirty,100,2026-06-13,5.0,3.59,Jaipur,true
Hard Plastic,Plastic,hard,Civil Lines,kg,95.1,clean,173,2026-08-25,5.0,5.68,Jaipur,true
Hard Plastic,Plastic,hard,MI Road,kg,102.9,mixed,43,2026-04-17,5.0,4.46,Jaipur,true
Hard Plastic,Plastic,hard,Nirman Nagar,kg,81.1,clean,96,2026-06-09,5.0,4.7,Jaipur,true
Hard Plastic,Plastic,hard,C-Scheme,kg,36.7,dirty,8,2026-03-13,5.0,4.02,Jaipur,true
Hard Plastic,Plastic,hard,Nirman Nagar,kg,55.8,mixed,145,2026-07-28,5.0,4.91,Jaipur,true
Hard Plastic,Plastic,hard,Sodala,kg,103.7,mixed,66,2026-05-10,5.0,4.28,Jaipur,true
Hard Plastic,Plastic,hard,Malviya Nagar,kg,95.5,mixed,16,2026-03-21,5.0,4.5,Jaipur,true
Hard Plastic,Plastic,hard,Gopalpura,kg,58.2,mixed,69,2026-05-13,5.0,4.13,Jaipur,true
Hard Plastic,Plastic,hard,Sodala,kg,91.7,clean,20,2026-03-25,5.0,4.92,Jaipur,true
Hard Plastic,Plastic,hard,Ramnagariya,kg,21.6,mixed,117,2026-06-30,5.0,4.29,Jaipur,true
Hard Plastic,Plastic,hard,Tonk Road,kg,97.8,clean,60,2026-05-04,5.0,4.43,Jaipur,true
Hard Plastic,Plastic,hard,C-Scheme,kg,109.5,clean,78,2026-05-22,5.0,4.43,Jaipur,true
Hard Plastic,Plastic,hard,Patrakar Colony,kg,102.5,mixed,11,2026-03-16,5.0,4.5,Jaipur,true
Hard Plastic,Plastic,hard,Vaishali Nagar,kg,29.2,clean,96,2026-06-09,5.0,4.72,Jaipur,true
Hard Plastic,Plastic,hard,Raja Park,kg,58.8,dirty,125,2026-07-08,5.0,3.93,Jaipur,true
Hard Plastic,Plastic,hard,Sodala,kg,85.2,clean,91,2026-06-04,5.0,4.36,Jaipur,true
Hard Plastic,Plastic,hard,Model Town,kg,105.5,clean,98,2026-06-11,5.0,4.75,Jaipur,true
Hard Plastic,Plastic,hard,Civil Lines,kg,15.1,mixed,79,2026-05-23,5.0,4.16,Jaipur,true
Hard Plastic,Plastic,hard,Vaishali Nagar,kg,102.7,mixed,82,2026-05-26,5.0,4.7,Jaipur,true
Hard Plastic,Plastic,hard,Sodala,kg,46.5,mixed,128,2026-07-11,5.0,4.44,Jaipur,true
Hard Plastic,Plastic,hard,Mansarovar,kg,31.8,clean,19,2026-03-24,5.0,5.24,Jaipur,true
Hard Plastic,Plastic,hard,Malviya Nagar,kg,15.9,mixed,101,2026-06-14,5.0,4.09,Jaipur,true
Hard Plastic,Plastic,hard,Ramnagariya,kg,67.8,dirty,67,2026-05-11,5.0,3.41,Jaipur,true
Hard Plastic,Plastic,hard,Barkat Nagar,kg,24.7,mixed,141,2026-07-24,5.0,4.95,Jaipur,true
Hard Plastic,Plastic,hard,Durgapura,kg,11.8,dirty,81,2026-05-25,5.0,3.58,Jaipur,true
Hard Plastic,Plastic,hard,Civil Lines,kg,91.2,mixed,155,2026-08-07,5.0,5.42,Jaipur,true
Hard Plastic,Plastic,hard,Mahesh Nagar,kg,54.2,mixed,3,2026-03-08,5.0,5.45,Jaipur,true
Hard Plastic,Plastic,hard,C-Scheme,kg,68.1,clean,14,2026-03-19,5.0,5.11,Jaipur,true
Hard Plastic,Plastic,hard,Chandpole,kg,68.5,damaged,147,2026-07-30,5.0,3.84,Jaipur,true
Hard Plastic,Plastic,hard,Adarsh Nagar,kg,66.3,mixed,124,2026-07-07,5.0,4.31,Jaipur,true
Hard Plastic,Plastic,hard,Adarsh Nagar,kg,27.4,clean,28,2026-04-02,5.0,4.48,Jaipur,true
Hard Plastic,Plastic,hard,Vaishali Nagar,kg,60.7,clean,49,2026-04-23,5.0,5.16,Jaipur,true
Hard Plastic,Plastic,hard,Gopalpura,kg,40.4,dirty,100,2026-06-13,5.0,3.53,Jaipur,true
Hard Plastic,Plastic,hard,Durgapura,kg,89.3,dirty,5,2026-03-10,5.0,4.38,Jaipur,true
Hard Plastic,Plastic,hard,Sodala,kg,56.7,damaged,159,2026-08-11,5.0,3.94,Jaipur,true
Hard Plastic,Plastic,hard,Ramnagariya,kg,10.4,damaged,15,2026-03-20,5.0,3.29,Jaipur,true
Hard Plastic,Plastic,hard,Nirman Nagar,kg,62.2,clean,87,2026-05-31,5.0,4.52,Jaipur,true
Hard Plastic,Plastic,hard,Tonk Road,kg,105.8,mixed,116,2026-06-29,5.0,4.56,Jaipur,true
Hard Plastic,Plastic,hard,Tonk Road,kg,110.5,mixed,80,2026-05-24,5.0,4.1,Jaipur,true
Hard Plastic,Plastic,hard,Shyam Nagar,kg,13.4,clean,142,2026-07-25,5.0,4.76,Jaipur,true
Hard Plastic,Plastic,hard,Adarsh Nagar,kg,77.3,clean,111,2026-06-24,5.0,4.47,Jaipur,true
Hard Plastic,Plastic,hard,Airport Area,kg,17.9,dirty,117,2026-06-30,5.0,3.97,Jaipur,true
Hard Plastic,Plastic,hard,Mansarovar,kg,28.1,mixed,24,2026-03-29,5.0,5.03,Jaipur,true
Hard Plastic,Plastic,hard,Ramnagariya,kg,47.2,mixed,14,2026-03-19,5.0,4.37,Jaipur,true
