material,category,item_type,price,unit,city,locality,source,source_url,collection_date,synthetic
Polythene Bags (LD),Plastic,film,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Polythene Bags (HM),Plastic,film,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Plastic (PP) Bags,Plastic,film,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Water Tank (Sintex),Plastic,tank,15,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Cooler (Plastic/Fibre),Plastic,appliance body,8,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Fibre,Plastic,fibre,5,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Packaging Film,Plastic,film,0,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Milk Covers,Plastic,film,0,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
E-waste,E-waste,mixed,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
CPU,E-waste,computer,250,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Printer,E-waste,peripheral,10,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Microwave,E-waste,appliance,15,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Geyser,E-waste,appliance,15,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Alkaline Battery (Cell),E-waste,battery,2,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Inverter Battery,E-waste,battery,90,kg,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Laptop,E-waste,computer,200,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Television (LCD/LED),E-waste,display,100,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Television (CRT),E-waste,display,150,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Monitor (LCD/LED),E-waste,display,100,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Monitor (CRT),E-waste,display,100,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
UPS (with battery),E-waste,power,300,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
UPS (without battery),E-waste,power,150,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Washing machine,E-waste,appliance,500,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Refrigerator (Single Door),E-waste,appliance,800,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
Refrigerator (Double Door),E-waste,appliance,1200,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
AC (1 ton),E-waste,appliance,3000,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
AC (1.5 ton),E-waste,appliance,3200,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
AC (2 Ton),E-waste,appliance,3500,piece,Jaipur,Jaipur (all localities),thekabadiwala.com published rate card,https://www.thekabadiwala.com/scrap-rates/Jaipur,2026-08-31,false
